#language	level	worksheet	problem	suggest	sound
ms-MY	4	2	2	anjing	anjing.m4a
ms-MY	4	2	3	lembu	lembu.m4a
ms-MY	4	2	4	arnab	arnab.m4a
ms-MY	4	2	5	singa	singa.m4a
ms-MY	4	2	6	biri-biri	biri-biri.m4a
ms-MY	4	2	7	zebra	zebra.m4a
ms-MY	4	2	8	itik	itik.m4a
ms-MY	4	3	1	saya	saya.m4a
ms-MY	4	3	2	kamu	kamu.m4a
ms-MY	4	3	3	dia	dia.m4a
ms-MY	4	3	4	aku	aku.m4a
ms-MY	4	3	5	mereka	mereka.m4a
ms-MY	4	3	6	ia	ia.m4a
ms-MY	4	3	7	kami	kami.m4a
ms-MY	4	3	8	kita	kita.m4a
ms-MY	5	1	1	kuman	kuman.m4a
ms-MY	5	1	2	rakan	rakan.m4a
ms-MY	5	1	3	reban	reban.m4a
ms-MY	5	1	4	tekan	tekan.m4a
ms-MY	5	1	5	sakan	sakan.m4a
ms-MY	5	1	6	telan	telan.m4a
ms-MY	5	1	7	lipan	lipan.m4a
ms-MY	5	1	8	laman	laman.m4a
ms-MY	5	2	1	baca	baca.m4a
ms-MY	5	2	2	bala	bala.m4a
ms-MY	5	2	3	raja	raja.m4a
ms-MY	5	2	4	hijau	hijau.m4a
ms-MY	5	2	5	manis	manis.m4a
ms-MY	5	2	6	tali	tali.m4a
ms-MY	5	2	7	titi	titi.m4a
ms-MY	5	2	8	teka	teka.m4a
ms-MY	5	3	1	teko	teko.m4a
ms-MY	5	3	2	tofu	tofu.m4a
ms-MY	5	3	3	sikat	sikat.m4a
ms-MY	5	3	4	sekat	sekat.m4a
ms-MY	5	3	5	rumah	rumah.m4a
ms-MY	5	3	6	tabah	tabah.m4a
ms-MY	5	3	7	bulan	bulan.m4a
ms-MY	5	3	8	makanan	makanan.m4a
ms-MY	6	1	1	pisang	pisang.m4a
ms-MY	6	1	2	anggur	anggur.m4a
ms-MY	6	1	3	mangga	mangga.m4a
ms-MY	6	1	4	epal	epal.m4a
ms-MY	6	1	5	oren	oren.m4a
ms-MY	6	1	6	kentang	kentang.m4a
ms-MY	6	1	7	kumbang	kumbang.m4a
ms-MY	6	1	8	bawang	bawang.m4a
ms-MY	6	2	1	kerusi	kerusi.m4a
ms-MY	6	2	2	lapar	lapar.m4a
ms-MY	6	2	3	kasut	kasut.m4a
ms-MY	6	2	4	ikan	ikan.m4a
ms-MY	6	2	5	kurus	kurus.m4a
ms-MY	6	2	6	matematik	matematik.m4a
ms-MY	6	2	7	telefon	telefon.m4a
ms-MY	6	2	8	gambar	gambar.m4a
ms-MY	6	3	1	dan	dan.m4a
ms-MY	6	3	2	pergi	pergi.m4a
ms-MY	6	3	3	adalah	adalah.m4a
ms-MY	6	3	4	buat	buat.m4a
ms-MY	6	3	5	untuk	untuk.m4a
ms-MY	6	3	6	saya	saya.m4a
ms-MY	6	3	7	dapat	dapat.m4a
ms-MY	6	3	8	jin	jin.m4a
ms-MY	7	1	1	sekolah	sekolah.m4a
ms-MY	7	1	2	pensel	pensel.m4a
ms-MY	7	1	3	meja	meja.m4a
ms-MY	7	1	4	buku	buku.m4a
ms-MY	7	1	5	kertas	kertas.m4a
ms-MY	7	1	6	baca	baca.m4a
ms-MY	7	1	7	tulis	tulis.m4a
ms-MY	7	1	8	kira	kira.m4a
ms-MY	7	2	1	apa	apa.m4a
ms-MY	7	2	2	bila	bila.m4a
ms-MY	7	2	3	di mana	dimana.m4a
ms-MY	7	2	4	bagaimana	bagaimana.m4a
ms-MY	7	2	5	lihat	lihat.m4a
ms-MY	7	2	6	akan	akan.m4a
ms-MY	7	2	7	tidak	tidak.m4a
ms-MY	7	2	8	baik	baik.m4a
ms-MY	7	3	1	topi	topi.m4a
ms-MY	7	3	2	seluar panjang	seluarpanjang.m4a
ms-MY	7	3	3	gaun	gaun.m4a
ms-MY	7	3	4	skirt	skirt.m4a
ms-MY	7	3	5	but	but.m4a
ms-MY	7	3	6	seluar pendek	seluarpendek.m4a
ms-MY	7	3	7	baju	baju.m4a
ms-MY	7	3	8	stokin	stokin.m4a
ms-MY	8	1	1	kuat	kuat.m4a
ms-MY	8	1	2	bunga	bunga.m4a
ms-MY	8	1	3	nombor	nombor.m4a
ms-MY	8	1	4	bakul	bakul.m4a
ms-MY	8	1	5	tandas	tandas.m4a
ms-MY	8	1	6	helmet	helmet.m4a
ms-MY	8	1	7	cahaya	cahaya.m4a
ms-MY	8	1	8	sebelas	sebelas.m4a
ms-MY	8	2	1	sentiasa	sentiasa.m4a
ms-MY	8	2	2	monyet	monyet.m4a
ms-MY	8	2	3	cantik	cantik.m4a
ms-MY	8	2	4	taman	taman.m4a
ms-MY	8	2	5	orang	orang.m4a
ms-MY	8	2	6	dua belas	duabelas.m4a
ms-MY	8	2	7	kawan	kawan.m4a
ms-MY	8	2	8	Isnin	isnin.m4a
ms-MY	9	1	1	belon	belon.m4a
ms-MY	9	1	2	pelajar	pelajar.m4a
ms-MY	9	1	3	datuk	datuk.m4a
ms-MY	9	1	4	nenek	nenek.m4a
ms-MY	9	1	5	komputer	komputer.m4a
ms-MY	9	1	6	ayam	ayam.m4a
ms-MY	9	1	7	motosikal	motosikal.m4a
ms-MY	9	1	8	gunung	gunung.m4a
ms-MY	9	2	1	guru	guru.m4a
ms-MY	9	2	2	gambar	gambar.m4a
ms-MY	9	2	3	kanak-kanak	kanak-kanak.m4a
ms-MY	9	2	4	hari jadi	harijadi.m4a
ms-MY	9	2	5	bola sepak	bolasepak.m4a
ms-MY	9	2	6	bersama	bersama.m4a
ms-MY	9	2	7	dapur	dapur.m4a
ms-MY	9	2	8	sayur	sayur.m4a
ms-MY	10	1	1	seekor kerbau	seekorkerbau.m4a
ms-MY	10	1	2	sebiji oren	sebijioren.m4a
ms-MY	10	1	3	lelaki itu	lelakiitu.m4a
ms-MY	10	1	4	rumah saya	rumahsaya.m4a
ms-MY	10	1	5	kakak 	kakak.m4a
ms-MY	10	1	6	sekolah kami	sekolahkami.m4a
ms-MY	10	2	1	budak lelaki kecil	budaklelakikecil.m4a
ms-MY	10	2	2	cawan kecil	cawankecil.m4a
ms-MY	10	2	3	tiga ekor anjing	tigaekoranjing.m4a
ms-MY	10	2	4	bunga putih	bungaputih.m4a
ms-MY	10	2	5	ular panjang	ularpanjang.m4a
ms-MY	10	2	6	rambut pendek	rambutpendek.m4a
ms-MY	11	1	1	basikal baharu	basikalbaharu.m4a
ms-MY	11	1	2	hari cerah	haricerah.m4a
ms-MY	11	1	3	bayi gembira	bayigembira.m4a
ms-MY	11	1	4	pisang kuning	pisangkuning.m4a
ms-MY	11	1	5	lelaki tua	lelakitua.m4a
ms-MY	11	1	6	gaun oren	gaunoren.m4a
ms-MY	11	2	1	kakak saya	kakaksaya.m4a
ms-MY	11	2	2	kasut merah	kasutmerah.m4a
ms-MY	11	2	3	lima pensel panjang	limapenselpanjang.m4a
ms-MY	11	2	4	baca buku	bacabuku.m4a
ms-MY	11	2	5	bersihkan rumah	bersihkanrumah.m4a
ms-MY	11	2	6	basuh pinggan	basuhpinggan.m4a
ms-MY	12	1	1	Siti gembira.	sitigembira.m4a
ms-MY	12	1	2	Ali tinggi.	alitinggi.m4a
ms-MY	12	1	3	Mereka lapar.	merekalapar.m4a
ms-MY	12	1	4	Itu lori.	itulori.m4a
ms-MY	12	1	5	Ini katak.	inikatak.m4a
ms-MY	12	1	6	Saya baik.	sayabaik.m4a
ms-MY	12	2	1	Ali doktor.	alidoktor.m4a
ms-MY	12	2	2	Devi jururawat.	devijururawat.m4a
ms-MY	12	2	3	Saya tinggi.	sayatinggi.m4a
ms-MY	12	2	4	Adik comel.	adikcomel.m4a
ms-MY	12	2	5	Pokok subur.	pokoksubur.m4a
ms-MY	12	2	6	Bunga wangi.	bungawangi.m4a
ms-MY	13	1	1	Buku tebal.	bukutebal.m4a
ms-MY	13	1	2	Baju kotor.	bajukotor.m4a
ms-MY	13	1	3	Basikal baharu.	basikalbaharu.m4a
ms-MY	13	1	4	Cikgu di sekolah.	cikgudisekolah.m4a
ms-MY	13	1	5	Mereka di rumah.	merekadirumah.m4a
ms-MY	13	1	6	Saya seorang murid.	sayaseorangmurid.m4a
ms-MY	13	2	1	Nenek sudah tua.	neneksudahtua.m4a
ms-MY	13	2	2	Datuk ada kereta.	datukadakereta.m4a
ms-MY	13	2	3	Ravi ada lembu.	raviadalembu.m4a
ms-MY	13	2	4	Lina ada kucing.	linaadakucing.m4a
ms-MY	13	2	5	Aini makan sayur.	ainimakansayur.m4a
ms-MY	13	2	6	Mei makan epal.	meimakanepal.m4a
ms-MY	14	1	1	Bayi minum susu.	bayiminumsusu.m4a
ms-MY	14	1	2	Kavita beli sabun.	kavitabelisabun.m4a
ms-MY	14	1	3	Ali beli pensel.	alibelipensel.m4a
ms-MY	14	1	4	Ayah beli sofa.	ayahbelisofa.m4a
ms-MY	14	1	5	Datuk minum jus oren.	datukminumjusoren.m4a
ms-MY	14	1	6	Amir minum air sirap.	amirminumairsirap.m4a
ms-MY	14	2	1	Tupai melompat tinggi.	tupaimelompattinggi.m4a
ms-MY	14	2	2	Kuda berlari laju.	kudaberlarilaju.m4a
ms-MY	14	2	3	Burung terbang tinggi.	burungterbangtinggi.m4a
ms-MY	14	2	4	Itik berenang di kolam.	itikberenangdikolam.m4a
ms-MY	14	2	5	Katak melompat ke air.	katakmelompatkeair.m4a
ms-MY	14	2	6	Helang terbang di langit.	helangterbangdilangit.m4a
ms-MY	15	1	1	Hao pandai berenang.	haopandaiberenang.m4a
ms-MY	15	1	2	Amir membaca buku.	amirmembacabuku.m4a
ms-MY	15	1	3	Tulisan Siti kemas.	tulisansitikemas.m4a
ms-MY	15	1	4	Aini menari di pentas.	ainimenaridipentas.m4a
ms-MY	15	1	5	Amir suka membaca.	amirsukamembaca.m4a
ms-MY	15	1	6	Siti suka menyanyi.	sitisukamenyanyi.m4a
ms-MY	15	2	1	Siti berjalan kaki.	sitiberjalankaki.m4a
ms-MY	15	2	2	Amir bermain bola.	amirbermainbola.m4a
ms-MY	15	2	3	Mei seorang pemalu.	meiseorangpemalu.m4a
ms-MY	15	2	4	Ali tinggal di istana.	alitinggaldiistana.m4a
ms-MY	15	2	5	Amir bermain gitar.	amirbermaingitar.m4a
ms-MY	15	2	6	Kumar bermain congkak.	kumarbermaincongkak.m4a
ms-MY	16	1	1	Ming berasa gembira.	mingberasagembira.m4a
ms-MY	16	1	2	Siti suka arnab.	sitisukaarnab.m4a
ms-MY	16	1	3	Devi bantu cikgu.	devibantucikgu.m4a
ms-MY	16	1	4	Aini mendengar radio.	ainimendengarradio.m4a
ms-MY	16	1	5	Bapa baca surat khabar.	bapabacasuratkhabar.m4a
ms-MY	16	1	6	Amir makan nasi lemak.	amirmakannasilemak.m4a
ms-MY	16	2	1	Adik tidur nyenyak.	adiktidurnyenyak.m4a
ms-MY	16	2	2	Emak jahit baju.	emakjahitbaju.m4a
ms-MY	16	2	3	Kakak sapu sampah.	kakaksapusampah.m4a
ms-MY	16	2	4	Adik gosok gigi.	adikgosokgigi.m4a
ms-MY	16	2	5	Amir bangun awal.	amirbangunawal.m4a
ms-MY	16	2	6	Ibu memasak di dapur.	ibumemasakdidapur.m4a
ms-MY	17	1	1	Amir menaiki bas.	amirmenaikibas.m4a
ms-MY	17	1	2	Selamat pagi.	selamatpagi.m4a
ms-MY	17	1	3	Terima kasih.	terimakasih.m4a
ms-MY	17	1	4	Maafkan saya.	maafkansaya.m4a
ms-MY	17	1	5	Masa untuk tidur.	masauntuktidur.m4a
ms-MY	17	1	6	Tengok saya.	tengoksaya.m4a
ms-MY	17	2	1	Mari kita pergi.	marikitapergi.m4a
ms-MY	17	2	2	Ini mulut saya.	inimulutsaya.m4a
ms-MY	17	2	3	Hari ini hari Isnin.	hariinihariisnin.m4a
ms-MY	17	2	4	Pagi ini hujan.	pagiinihujan.m4a
ms-MY	17	2	5	Hari ini panas.	hariinipanas.m4a
ms-MY	17	2	6	Buku di atas meja.	bukudiatasmeja.m4a
ms-MY	18	1	1	Bola di padang.	boladipadang.m4a
ms-MY	18	1	2	Mei rasa gembira.	meirasagembira.m4a
ms-MY	18	1	3	Ini apa?	iniapa.m4a
ms-MY	18	1	4	Apa khabar?	apakhabar.m4a
ms-MY	18	1	5	Siapa dia?	siapadia.m4a
ms-MY	18	1	6	Amir abang saya.	amirabangsaya.m4a
ms-MY	18	2	1	Adakah kamu gembira?	adakahkamugembira.m4a
ms-MY	18	2	2	Ya, saya gembira.	yasayagembira.m4a
ms-MY	18	2	3	Adakah Ali doktor?	adakahalidoktor.m4a
ms-MY	18	2	4	Tidak, Ali bukan doktor.	tidakalibukandoktor.m4a
ms-MY	18	2	5	Adakah mereka berlari laju?	adakahmerekaberlarilaju.m4a
ms-MY	18	2	6	Ya, mereka berlari laju.	yamerekaberlarilaju.m4a
