		#문제시트 번호		#문제로 내는 수	#시작 시 물탱크 내 물방울 수
ms-MY	11	1	5	14	7
ms-MY	11	2	1	11	2
ms-MY	11	2	2	12	8
ms-MY	11	2	3	15	7
ms-MY	11	2	4	14	9
ms-MY	11	2	5	11	6
ms-MY	11	3	1	11	4
ms-MY	11	3	2	14	6
ms-MY	11	3	3	14	5
ms-MY	11	3	4	16	9
ms-MY	11	3	5	13	8
ms-MY	12	1	1	23	16
ms-MY	12	1	2	22	14
ms-MY	12	1	3	26	18
ms-MY	12	1	4	21	13
ms-MY	12	1	5	20	15
ms-MY	12	2	1	22	15
ms-MY	12	2	2	21	12
ms-MY	12	2	3	23	17
ms-MY	12	2	4	22	14
ms-MY	12	2	5	25	18
ms-MY	12	3	1	21	13
ms-MY	12	3	2	20	16
ms-MY	12	3	3	23	14
ms-MY	12	3	4	27	19
ms-MY	12	3	5	23	17
ms-MY	13	1	1	20	13
ms-MY	13	1	2	53	45
ms-MY	13	1	3	33	26
ms-MY	13	1	4	41	37
ms-MY	13	1	5	71	64
ms-MY	13	2	1	24	16
ms-MY	13	2	2	41	35
ms-MY	13	2	3	53	48
ms-MY	13	2	4	62	54
ms-MY	13	2	5	85	79
ms-MY	13	3	1	25	18
ms-MY	13	3	2	31	23
ms-MY	13	3	3	53	47
ms-MY	13	3	4	70	65
ms-MY	13	3	5	82	78
ms-MY	14	1	1	43	25
ms-MY	14	1	2	90	54
ms-MY	14	1	3	82	46
ms-MY	14	1	4	64	37
ms-MY	14	1	5	81	63
ms-MY	14	2	1	56	38
ms-MY	14	2	2	80	56
ms-MY	14	2	3	66	47
ms-MY	14	2	4	64	29
ms-MY	14	2	5	91	64
ms-MY	14	3	1	70	27
ms-MY	14	3	2	66	19
ms-MY	14	3	3	81	45
ms-MY	14	3	4	64	37
ms-MY	14	3	5	93	58
ms-MY	15	1	1	27	35
ms-MY	15	1	2	16	22
ms-MY	15	1	3	46	54
ms-MY	15	1	4	54	63
ms-MY	15	1	5	68	75
ms-MY	15	2	1	16	24
ms-MY	15	2	2	48	53
ms-MY	15	2	3	29	35
ms-MY	15	2	4	54	62
ms-MY	15	2	5	76	85
ms-MY	15	3	1	28	33
ms-MY	15	3	2	58	64
ms-MY	15	3	3	48	51
ms-MY	15	3	4	85	92
ms-MY	15	3	5	69	76
ms-MY	16	1	1	35	52
ms-MY	16	1	2	46	83
ms-MY	16	1	3	37	65
ms-MY	16	1	4	28	44
ms-MY	16	1	5	34	73
ms-MY	16	2	1	28	63
ms-MY	16	2	2	19	56
ms-MY	16	2	3	27	45
ms-MY	16	2	4	35	74
ms-MY	16	2	5	36	82
ms-MY	16	3	1	27	55
ms-MY	16	3	2	45	64
ms-MY	16	3	3	18	46
ms-MY	16	3	4	58	72
ms-MY	16	3	5	36	83
ms-MY	17	1	1	100	0
ms-MY	17	1	2	300	0
ms-MY	17	1	3	600	0
ms-MY	17	1	4	400	0
ms-MY	17	1	5	700	0
ms-MY	17	2	1	200	0
ms-MY	17	2	2	500	0
ms-MY	17	2	3	800	0
ms-MY	17	2	4	300	0
ms-MY	17	2	5	400	0
ms-MY	17	3	1	100	0
ms-MY	17	3	2	400	0
ms-MY	17	3	3	600	0
ms-MY	17	3	4	300	0
ms-MY	17	3	5	500	0
ms-MY	18	1	1	538	0
ms-MY	18	1	2	462	0
ms-MY	18	1	3	647	0
ms-MY	18	1	4	825	0
ms-MY	18	1	5	384	0
ms-MY	18	2	1	481	0
ms-MY	18	2	2	628	0
ms-MY	18	2	3	742	0
ms-MY	18	2	4	537	0
ms-MY	18	2	5	831	0
ms-MY	18	3	1	527	0
ms-MY	18	3	2	385	0
ms-MY	18	3	3	639	0
ms-MY	18	3	4	472	0
ms-MY	18	3	5	815	0
ms-MY	19	1	1	500	200
ms-MY	19	1	2	600	400
ms-MY	19	1	3	300	100
ms-MY	19	1	4	700	300
ms-MY	19	1	5	400	200
ms-MY	19	2	1	600	300
ms-MY	19	2	2	800	400
ms-MY	19	2	3	400	200
ms-MY	19	2	4	500	100
ms-MY	19	2	5	700	300
ms-MY	19	3	1	700	400
ms-MY	19	3	2	400	200
ms-MY	19	3	3	600	400
ms-MY	19	3	4	500	200
ms-MY	19	3	5	800	500
ms-MY	20	1	1	300	400
ms-MY	20	1	2	200	600
ms-MY	20	1	3	400	700
ms-MY	20	1	4	100	500
ms-MY	20	1	5	500	800
ms-MY	20	2	1	200	500
ms-MY	20	2	2	100	300
ms-MY	20	2	3	400	700
ms-MY	20	2	4	300	400
ms-MY	20	2	5	500	600
ms-MY	20	3	1	100	400
ms-MY	20	3	2	500	800
ms-MY	20	3	3	300	500
ms-MY	20	3	4	200	400
ms-MY	20	3	5	400	700
ms-MY	21	1	1	253	153
ms-MY	21	1	2	446	436
ms-MY	21	1	3	448	348
ms-MY	21	1	4	592	582
ms-MY	21	1	5	758	658
ms-MY	21	2	1	448	438
ms-MY	21	2	2	365	265
ms-MY	21	2	3	651	641
ms-MY	21	2	4	576	476
ms-MY	21	2	5	749	739
ms-MY	21	3	1	454	354
ms-MY	21	3	2	281	271
ms-MY	21	3	3	628	528
ms-MY	21	3	4	766	756
ms-MY	21	3	5	488	388
ms-MY	22	1	1	391	491
ms-MY	22	1	2	548	648
ms-MY	22	1	3	279	379
ms-MY	22	1	4	763	773
ms-MY	22	1	5	428	438
ms-MY	22	2	1	481	581
ms-MY	22	2	2	746	846
ms-MY	22	2	3	335	435
ms-MY	22	2	4	829	839
ms-MY	22	2	5	628	638
ms-MY	22	3	1	639	739
ms-MY	22	3	2	382	482
ms-MY	22	3	3	743	843
ms-MY	22	3	4	548	558
ms-MY	22	3	5	673	683
ms-MY	23	1	1	24	100
ms-MY	23	1	2	133	400
ms-MY	23	1	3	65	300
ms-MY	23	1	4	18	200
ms-MY	23	1	5	216	500
ms-MY	23	2	1	72	200
ms-MY	23	2	2	148	500
ms-MY	23	2	3	61	300
ms-MY	23	2	4	36	100
ms-MY	23	2	5	236	600
ms-MY	23	3	1	86	100
ms-MY	23	3	2	217	400
ms-MY	23	3	3	163	300
ms-MY	23	3	4	68	700
ms-MY	23	3	5	238	500
ms-MY	24	1	1	456	135
ms-MY	24	1	2	567	154
ms-MY	24	1	3	684	263
ms-MY	24	1	4	789	257
ms-MY	24	1	5	757	332
ms-MY	24	2	1	578	152
ms-MY	24	2	2	477	136
ms-MY	24	2	3	667	235
ms-MY	24	2	4	779	253
ms-MY	24	2	5	768	327
ms-MY	24	3	1	379	143
ms-MY	24	3	2	588	126
ms-MY	24	3	3	678	253
ms-MY	24	3	4	598	284
ms-MY	24	3	5	885	362
ms-MY	25	1	1	463	135
ms-MY	25	1	2	390	254
ms-MY	25	1	3	837	375
ms-MY	25	1	4	619	457
ms-MY	25	1	5	851	583
ms-MY	25	2	1	363	128
ms-MY	25	2	2	692	275
ms-MY	25	2	3	538	382
ms-MY	25	2	4	693	476
ms-MY	25	2	5	723	558
ms-MY	25	3	1	490	157
ms-MY	25	3	2	343	206
ms-MY	25	3	3	618	335
ms-MY	25	3	4	707	462
ms-MY	25	3	5	822	574
ms-MY	26	1	1	242	583
ms-MY	26	1	2	423	647
ms-MY	26	1	3	523	758
ms-MY	26	1	4	322	836
ms-MY	26	1	5	553	965
ms-MY	26	2	1	225	475
ms-MY	26	2	2	416	548
ms-MY	26	2	3	220	630
ms-MY	26	2	4	314	749
ms-MY	26	2	5	610	836
ms-MY	26	3	1	372	583
ms-MY	26	3	2	463	694
ms-MY	26	3	3	251	774
ms-MY	26	3	4	623	895
ms-MY	26	3	5	611	936
ms-MY	27	1	1	237	754
ms-MY	27	1	2	316	652
ms-MY	27	1	3	425	843
ms-MY	27	1	4	254	539
ms-MY	27	1	5	175	634
ms-MY	27	2	1	402	641
ms-MY	27	2	2	318	537
ms-MY	27	2	3	415	823
ms-MY	27	2	4	354	732
ms-MY	27	2	5	456	813
ms-MY	27	3	1	409	532
ms-MY	27	3	2	339	645
ms-MY	27	3	3	533	792
ms-MY	27	3	4	205	820
ms-MY	27	3	5	423	951
