# LanguageTag	#Level	#Puzzle	#Text	#foldername	#Background	#Pieces	#mask	#sound
#Piece	#filename prefix	#posX	#posY	#depth	#shadow			
ms-MY	1	1	Ayam	level_pre/level1/puzzle1_ayam/	ap2_puzzle1_background.jpg	1	x	ayam.m4a
2	ap_puzzle11_chicken2_puzzle	610	126	x	x			
3	ap_puzzle11_chicken3_puzzle	1030	270	x	x			
4	ap_puzzle11_chicken4_puzzle	1236	240	x	x			
5	ap_puzzle11_chicken5_puzzle	1468	208	x	x			
6	ap_puzzle11_chicken6_puzzle	1912	294	x	x			
ms-MY	24	1	Bees	level3/puzzle12/	ap_puzzle12_background.jpg	6	_ap_puzzle12_mask.png	bees.m4a
1	ap_puzzle12_bee1_puzzle	143	735	x	x			
2	ap_puzzle12_bee2_puzzle	206	36	x	x			
3	ap_puzzle12_bee3_puzzle	1034	-20	x	x			
4	ap_puzzle12_bee4_puzzle	1444	418	x	x			
5	ap_puzzle12_beehive1_puzzle	918	732	x	x			
6	ap_puzzle12_beehive2_puzzle	1853	87	x	x			
ms-MY	25	1	Hippo	level4/puzzle13/	ap_puzzle13_background.jpg	6	_ap_puzzle13_mask.png	hippo.m4a
1	ap_puzzle13_hippo1_puzzle	380	140	x	x			
2	ap_puzzle13_hippo2_puzzle	602	98	x	x			
3	ap_puzzle13_hippo3_puzzle	824	266	x	x			
4	ap_puzzle13_hippo4_puzzle	960	98	x	x			
5	ap_puzzle13_hippo5_puzzle	1187	98	x	x			
6	ap_puzzle13_hippo6_puzzle	1426	202	x	x			
ms-MY	26	1	Octopus	level4/puzzle14/	ap_puzzle14_background.jpg	6	_ap_puzzle14_mask.png	octopus.m4a
1	ap_puzzle14_octopus1_puzzle	530	218	x	x			
2	ap_puzzle14_octopus2_puzzle	992	618	x	x			
3	ap_puzzle14_octopus3_puzzle	1280	618	x	x			
4	ap_puzzle14_octopus4_puzzle	1280	214	x	x			
5	ap_puzzle14_octopus5_puzzle	1280	182	x	x			
6	ap_puzzle14_octopus6_puzzle	748	58	x	x			
ms-MY	27	1	Singa	level4/puzzle15_singa/	ap_puzzle15_background.jpg	1	x	singa.m4a
1	ap_puzzle15_singa_puzzle	630	150	x	x
ms-MY	28	1	Harimau Kumbang	level4/puzzle16_harimaukumbang/	ap_puzzle16_background.jpg	1	x	harimau_kumbang.m4a
1	ap_puzzle16_harimau_kumbang_puzzle	630	150	x	x
ms-MY	29	1	Angsa	level5/puzzle17_angsa/	ap_puzzle17_background.jpg	1	x	angsa.m4a
1	ap_puzzle17_angsa_puzzle	630	150	x	x
ms-MY	30	1	Beruang	level5/puzzle18_beruang/	ap_puzzle18_background.jpg	1	x	beruang.m4a
1	ap_puzzle18_beruang_puzzle	630	150	x	x			
ms-MY	31	1	Giraffes	level5/puzzle19/	ap_puzzle19_background.png	12	x	giraffes.m4a
1	ap_puzzle19_puzzle1	0	833	x	x			
2	ap_puzzle19_puzzle2	495	833	x	x			
3	ap_puzzle19_puzzle3	1095	833	x	x			
4	ap_puzzle19_puzzle4	1698	833	x	x			
5	ap_puzzle19_puzzle5	0	400	x	x			
6	ap_puzzle19_puzzle6	598	400	x	x			
7	ap_puzzle19_puzzle7	1199	400	x	x			
8	ap_puzzle19_puzzle8	1797	400	x	x			
9	ap_puzzle19_puzzle9	0	-29	x	x			
10	ap_puzzle19_puzzle10	495	-29	x	x			
11	ap_puzzle19_puzzle11	1095	-29	x	x			
12	ap_puzzle19_puzzle12	1698	-29	x	x			
ms-MY	32	1	Frog	level5/puzzle20/	ap_puzzle20_background.png	12	x	frog.m4a
1	ap_puzzle20_puzzle1	0	828	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
2	ap_puzzle20_puzzle2	602	828	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
3	ap_puzzle20_puzzle3	1204	828	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
4	ap_puzzle20_puzzle4	1806	828	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
5	ap_puzzle20_puzzle5	0	396	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
6	ap_puzzle20_puzzle6	602	396	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
7	ap_puzzle20_puzzle7	1204	396	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
8	ap_puzzle20_puzzle8	1806	396	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
9	ap_puzzle20_puzzle9	0	-36	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
10	ap_puzzle20_puzzle10	602	-36	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
11	ap_puzzle20_puzzle11	1204	-36	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
12	ap_puzzle20_puzzle12	1806	-36	ap_puzzle20_puzzledepth	ap_puzzle20_puzzleshadow			
ms-MY	33	1	Chickens	level6/puzzle21/	ap_puzzle21_backgroundpuzzle.png	18	x	chickens.m4a
1	ap_puzzle21_puzzle1_	0	832	ap_puzzle21_puzzle1_3_5_13_15_17depth	ap_puzzle21_puzzle1_3_5_13_15_17shadow			
2	ap_puzzle21_puzzle2_	292	832	ap_puzzle21_puzzle2_4_6_14_16_18depth	ap_puzzle21_puzzle2_4_6_14_16_18shadow			
3	ap_puzzle21_puzzle3	799	832	ap_puzzle21_puzzle1_3_5_13_15_17depth	ap_puzzle21_puzzle1_3_5_13_15_17shadow			
4	ap_puzzle21_puzzle4	1099	832	ap_puzzle21_puzzle2_4_6_14_16_18depth	ap_puzzle21_puzzle2_4_6_14_16_18shadow			
5	ap_puzzle21_puzzle5	1603	832	ap_puzzle21_puzzle1_3_5_13_15_17depth	ap_puzzle21_puzzle1_3_5_13_15_17shadow			
6	ap_puzzle21_puzzle6	1898	832	ap_puzzle21_puzzle2_4_6_14_16_18depth	ap_puzzle21_puzzle2_4_6_14_16_18shadow			
7	ap_puzzle21_puzzle7_	0	400	ap_puzzle21_puzzle7_9_11depth	ap_puzzle21_puzzle7_9_11shadow			
8	ap_puzzle21_puzzle8_	400	400	ap_puzzle21_puzzle8_10_12depth	ap_puzzle21_puzzle8_10_12shadow			
9	ap_puzzle21_puzzle9	799	400	ap_puzzle21_puzzle7_9_11depth	ap_puzzle21_puzzle7_9_11shadow			
10	ap_puzzle21_puzzle10	1203	400	ap_puzzle21_puzzle8_10_12depth	ap_puzzle21_puzzle8_10_12shadow			
11	ap_puzzle21_puzzle11	1603	400	ap_puzzle21_puzzle7_9_11depth	ap_puzzle21_puzzle7_9_11shadow			
12	ap_puzzle21_puzzle12	2007	400	ap_puzzle21_puzzle8_10_12depth	ap_puzzle21_puzzle8_10_12shadow			
13	ap_puzzle21_puzzle13	0	-32	ap_puzzle21_puzzle1_3_5_13_15_17depth	ap_puzzle21_puzzle1_3_5_13_15_17shadow			
14	ap_puzzle21_puzzle14	292	-32	ap_puzzle21_puzzle2_4_6_14_16_18depth	ap_puzzle21_puzzle2_4_6_14_16_18shadow			
15	ap_puzzle21_puzzle15	799	-32	ap_puzzle21_puzzle1_3_5_13_15_17depth	ap_puzzle21_puzzle1_3_5_13_15_17shadow			
16	ap_puzzle21_puzzle16	1099	-32	ap_puzzle21_puzzle2_4_6_14_16_18depth	ap_puzzle21_puzzle2_4_6_14_16_18shadow			
17	ap_puzzle21_puzzle17	1603	-32	ap_puzzle21_puzzle1_3_5_13_15_17depth	ap_puzzle21_puzzle1_3_5_13_15_17shadow			
18	ap_puzzle21_puzzle18	1898	-32	ap_puzzle21_puzzle2_4_6_14_16_18depth	ap_puzzle21_puzzle2_4_6_14_16_18shadow			
ms-MY	34	1	Cow	level6/puzzle22/	ap_puzzle22_backgroundpuzzle.png	18	x	cow.m4a
1	ap_puzzle22_puzzle1	0	816	x	x			
2	ap_puzzle22_puzzle2	374	672	x	x			
3	ap_puzzle22_puzzle3	650	816	x	x			
4	ap_puzzle22_puzzle4	1177	672	x	x			
5	ap_puzzle22_puzzle5	1450	816	x	x			
6	ap_puzzle22_puzzle6	1973	672	x	x			
7	ap_puzzle22_puzzle7	0	237	x	x			
8	ap_puzzle22_puzzle8	247	381	x	x			
9	ap_puzzle22_puzzle9	776	237	x	x			
10	ap_puzzle22_puzzle10	1049	381	x	x			
11	ap_puzzle22_puzzle11	1583	237	x	x			
12	ap_puzzle22_puzzle12	1853	381	x	x			
13	ap_puzzle22_puzzle13	0	-29	x	x			
14	ap_puzzle22_puzzle14	374	-29	x	x			
15	ap_puzzle22_puzzle15	650	-29	x	x			
16	ap_puzzle22_puzzle16	1177	-29	x	x			
17	ap_puzzle22_puzzle17	1450	-29	x	x			
18	ap_puzzle22_puzzle18	1973	-29	x	x			
ms-MY	35	1	Bees	level6/puzzle23/	ap_puzzle23_backgroundpuzzle.png	18	x	bees.m4a
1	ap_puzzle23_puzzle1	0	826	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
2	ap_puzzle23_puzzle2	401	826	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
3	ap_puzzle23_puzzle3	802	826	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
4	ap_puzzle23_puzzle4	1203	826	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
5	ap_puzzle23_puzzle5	1604	826	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
6	ap_puzzle23_puzzle6	2005	826	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
7	ap_puzzle23_puzzle7	0	396	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
8	ap_puzzle23_puzzle8	401	396	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
9	ap_puzzle23_puzzle9	802	396	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
10	ap_puzzle23_puzzle10	1203	396	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
11	ap_puzzle23_puzzle11	1604	396	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
12	ap_puzzle23_puzzle12	2005	396	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
13	ap_puzzle23_puzzle13	0	-36	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
14	ap_puzzle23_puzzle14	401	-36	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
15	ap_puzzle23_puzzle15	802	-36	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
16	ap_puzzle23_puzzle16	1203	-36	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
17	ap_puzzle23_puzzle17	1604	-36	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
18	ap_puzzle23_puzzle18	2005	-36	ap_puzzle23_puzzledepth	ap_puzzle23_puzzleshadow			
ms-MY	36	1	Birds	level6/puzzle24/	ap_puzzle24_backgroundpuzzle.png	18	x	birds.m4a
1	ap_puzzle24_puzzle1	0	816	x	x			
2	ap_puzzle24_puzzle2	374	672	x	x			
3	ap_puzzle24_puzzle3	650	816	x	x			
4	ap_puzzle24_puzzle4	1177	672	x	x			
5	ap_puzzle24_puzzle5	1450	816	x	x			
6	ap_puzzle24_puzzle6	1973	672	x	x			
7	ap_puzzle24_puzzle7	0	237	x	x			
8	ap_puzzle24_puzzle8	247	381	x	x			
9	ap_puzzle24_puzzle9	776	237	x	x			
10	ap_puzzle24_puzzle10	1049	381	x	x			
11	ap_puzzle24_puzzle11	1583	237	x	x			
12	ap_puzzle24_puzzle12	1853	381	x	x			
13	ap_puzzle24_puzzle13	0	-29	x	x			
14	ap_puzzle24_puzzle14	374	-29	x	x			
15	ap_puzzle24_puzzle15	650	-29	x	x			
16	ap_puzzle24_puzzle16	1177	-29	x	x			
17	ap_puzzle24_puzzle17	1450	-29	x	x			
18	ap_puzzle24_puzzle18	1973	-29	x	x			
ms-MY	37	1	Elephants	level7/puzzle25/	ap_puzzle25_background.png	24	x	elephants.m4a
1	ap_puzzle25_puzzle1	0	942	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
2	ap_puzzle25_puzzle2	401	942	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
3	ap_puzzle25_puzzle3	802	942	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
4	ap_puzzle25_puzzle4	1203	942	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
5	ap_puzzle25_puzzle5	1604	942	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
6	ap_puzzle25_puzzle6	2005	942	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
7	ap_puzzle25_puzzle7	0	617	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
8	ap_puzzle25_puzzle8	401	617	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
9	ap_puzzle25_puzzle9	802	617	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
10	ap_puzzle25_puzzle10	1203	617	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
11	ap_puzzle25_puzzle11	1604	617	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
12	ap_puzzle25_puzzle12	2005	617	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
13	ap_puzzle25_puzzle13	0	292	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
14	ap_puzzle25_puzzle14	401	292	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
15	ap_puzzle25_puzzle15	802	292	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
16	ap_puzzle25_puzzle16	1203	292	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
17	ap_puzzle25_puzzle17	1604	292	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
18	ap_puzzle25_puzzle18	2005	292	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
19	ap_puzzle25_puzzle19	0	-30	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
20	ap_puzzle25_puzzle20	401	-30	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
21	ap_puzzle25_puzzle21	802	-30	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
22	ap_puzzle25_puzzle22	1203	-30	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
23	ap_puzzle25_puzzle23	1604	-30	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
24	ap_puzzle25_puzzle24	2005	-30	ap_puzzle25_puzzledepth	ap_puzzle25_puzzleshadow			
ms-MY	38	1	Lion	level7/puzzle26/	ap_puzzle26_background.png	24	x	lion.m4a
1	ap_puzzle26_puzzle1	0	942	x	x			
2	ap_puzzle26_puzzle2	302	942	x	x			
3	ap_puzzle26_puzzle3	710	942	x	x			
4	ap_puzzle26_puzzle4	1110	942	x	x			
5	ap_puzzle26_puzzle5	1514	942	x	x			
6	ap_puzzle26_puzzle6	1912	942	x	x			
7	ap_puzzle26_puzzle7	0	617	x	x			
8	ap_puzzle26_puzzle8	401	617	x	x			
9	ap_puzzle26_puzzle9	798	617	x	x			
10	ap_puzzle26_puzzle10	1200	617	x	x			
11	ap_puzzle26_puzzle11	1601	617	x	x			
12	ap_puzzle26_puzzle12	2005	617	x	x			
13	ap_puzzle26_puzzle13	0	292	x	x			
14	ap_puzzle26_puzzle14	302	292	x	x			
15	ap_puzzle26_puzzle15	710	292	x	x			
16	ap_puzzle26_puzzle16	1110	292	x	x			
17	ap_puzzle26_puzzle17	1514	292	x	x			
18	ap_puzzle26_puzzle18	1912	292	x	x			
19	ap_puzzle26_puzzle19	0	-30	x	x			
20	ap_puzzle26_puzzle20	401	-30	x	x			
21	ap_puzzle26_puzzle21	798	-30	x	x			
22	ap_puzzle26_puzzle22	1200	-30	x	x			
23	ap_puzzle26_puzzle23	1601	-30	x	x			
24	ap_puzzle26_puzzle24	2005	-30	x	x			
ms-MY	39	1	Monkeys and Crocodile	level7/puzzle27/	ap_puzzle27_background.png	24	x	monkeys_and_crocodile.m4a
1	ap_puzzle27_puzzle1	0	928	x	x			
2	ap_puzzle27_puzzle2	382	824	x	x			
3	ap_puzzle27_puzzle3	651	928	x	x			
4	ap_puzzle27_puzzle4	1184	824	x	x			
5	ap_puzzle27_puzzle5	1453	928	x	x			
6	ap_puzzle27_puzzle6	1980	824	x	x			
7	ap_puzzle27_puzzle7	0	501	x	x			
8	ap_puzzle27_puzzle8	248	608	x	x			
9	ap_puzzle27_puzzle9	782	501	x	x			
10	ap_puzzle27_puzzle10	1051	608	x	x			
11	ap_puzzle27_puzzle11	1585	501	x	x			
12	ap_puzzle27_puzzle12	1856	608	x	x			
13	ap_puzzle27_puzzle13	0	279	x	x			
14	ap_puzzle27_puzzle14	382	176	x	x			
15	ap_puzzle27_puzzle15	651	279	x	x			
16	ap_puzzle27_puzzle16	1184	176	x	x			
17	ap_puzzle27_puzzle17	1453	279	x	x			
18	ap_puzzle27_puzzle18	1980	176	x	x			
19	ap_puzzle27_puzzle19	0	-34	x	x			
20	ap_puzzle27_puzzle20	248	-34	x	x			
21	ap_puzzle27_puzzle21	782	-34	x	x			
22	ap_puzzle27_puzzle22	1051	-34	x	x			
23	ap_puzzle27_puzzle23	1585	-34	x	x			
24	ap_puzzle27_puzzle24	1856	-34	x	x			
ms-MY	40	1	Cacti and Camels	level7/puzzle28/	ap_puzzle28_background.png	24	x	cacti_and_camels.m4a
1	ap_puzzle28_puzzle1	0	942	x	x			
2	ap_puzzle28_puzzle2	302	942	x	x			
3	ap_puzzle28_puzzle3	710	942	x	x			
4	ap_puzzle28_puzzle4	1110	942	x	x			
5	ap_puzzle28_puzzle5	1514	942	x	x			
6	ap_puzzle28_puzzle6	1912	942	x	x			
7	ap_puzzle28_puzzle7	0	617	x	x			
8	ap_puzzle28_puzzle8	401	617	x	x			
9	ap_puzzle28_puzzle9	798	617	x	x			
10	ap_puzzle28_puzzle10	1200	617	x	x			
11	ap_puzzle28_puzzle11	1601	617	x	x			
12	ap_puzzle28_puzzle12	2005	617	x	x			
13	ap_puzzle28_puzzle13	0	292	x	x			
14	ap_puzzle28_puzzle14	302	292	x	x			
15	ap_puzzle28_puzzle15	710	292	x	x			
16	ap_puzzle28_puzzle16	1110	292	x	x			
17	ap_puzzle28_puzzle17	1514	292	x	x			
18	ap_puzzle28_puzzle18	1912	292	x	x			
19	ap_puzzle28_puzzle19	0	-30	x	x			
20	ap_puzzle28_puzzle20	401	-30	x	x			
21	ap_puzzle28_puzzle21	798	-30	x	x			
22	ap_puzzle28_puzzle22	1200	-30	x	x			
23	ap_puzzle28_puzzle23	1601	-30	x	x			
24	ap_puzzle28_puzzle24	2005	-30	x	x			
