#Language	Level	Worksheet	Problems	Blue Sound	Red Bird Sound	Bread1 Word	Bread1 Sound	Bread1 Phonic	Bread1 Phonic Place	Bread2 Word	Bread2 Sound	Bread2 Phonic	Bread2 Phonic Place	Bread3 Word	Bread3 Sound	Bread3 Phonic	Bread3 Phonic Place	Bread4 Word	Bread4 Sound	Bread4 Phonic	Bread4 Phonic Place
ms-MY	9	2	2	jam_sound.m4a	lam_sound.m4a	pinjam	pinjam.m4a	blue	4,5,6	talam	talam.m4a	red	3,4,5	tajam	tajam.m4a	blue	3,4,5	dalam	dalam.m4a	red	3,4,5
ms-MY	9	2	3	pul_sound.m4a	pal_sound.m4a	tumpul	tumpul.m4a	blue	4,5,6	sampul	sampul.m4a	blue	4,5,6	tampal	tampal.m4a	red	4,5,6	kapal	kapal.m4a	red	3,4,5
ms-MY	10	1	1	dah_sound.m4a	dar_sound.m4a	sudah	sudah.m4a	blue	3,4,5	sedar	sedar.m4a	red	3,4,5	pudar	pudar.m4a	red	3,4,5	bandar	bandar.m4a	red	4,5,6
ms-MY	10	1	2	cun_sound.m4a	jun_sound.m4a	terjun	terjun.m4a	red	4,5,6	mercun	mercun.m4a	blue	4,5,6	lencun	lencun.m4a	blue	4,5,6	racun	racun.m4a	blue	3,4,5
ms-MY	10	1	3	juh_sound.m4a	buh_sound.m4a	tujuh	tujuh.m4a	blue	3,4,5	sembuh	sembuh.m4a	red	4,5,6	tumbuh	tumbuh.m4a	red	4,5,6	labuh	labuh.m4a	red	3,4,5
ms-MY	10	2	1	dah_sound.m4a	dar_sound.m4a	sudah	sudah.m4a	blue	3,4,5	sedar	sedar.m4a	red	3,4,5	pudar	pudar.m4a	red	3,4,5	bandar	bandar.m4a	red	4,5,6
ms-MY	10	2	2	cun_sound.m4a	jun_sound.m4a	terjun	terjun.m4a	red	4,5,6	mercun	mercun.m4a	blue	4,5,6	lencun	lencun.m4a	blue	4,5,6	racun	racun.m4a	blue	3,4,5
ms-MY	10	2	3	juh_sound.m4a	buh_sound.m4a	tujuh	tujuh.m4a	blue	3,4,5	sembuh	sembuh.m4a	red	4,5,6	tumbuh	tumbuh.m4a	red	4,5,6	labuh	labuh.m4a	red	3,4,5
ms-MY	11	1	1	mang_sound.m4a	nang_sound.m4a	mangkuk	mangkuk.m4a	blue	1,2,3,4	manggis	manggis.m4a	blue	1,2,3,4	mangga	mangga.m4a	blue	1,2,3,4	nangka	nangka.m4a	red	1,2,3,4
ms-MY	11	1	2	tang_sound.m4a	tong_sound.m4a	tangki	tangki.m4a	blue	1,2,3,4	tangkap	tangkap.m4a	blue	1,2,3,4	tongkat	tongkat.m4a	red	1,2,3,4	tongkang	tongkang.m4a	red	1,2,3,4
ms-MY	11	1	3	bang_sound.m4a	bing_sound.m4a	bangsal	bangsal.m4a	blue	1,2,3,4	bangga	bangga.m4a	blue	1,2,3,4	bangku	bangku.m4a	blue	1,2,3,4	bingka	bingka.m4a	red	1,2,3,4
ms-MY	11	2	1	mang_sound.m4a	nang_sound.m4a	mangkuk	mangkuk.m4a	blue	1,2,3,4	manggis	manggis.m4a	blue	1,2,3,4	mangga	mangga.m4a	blue	1,2,3,4	nangka	nangka.m4a	red	1,2,3,4
ms-MY	11	2	2	tang_sound.m4a	tong_sound.m4a	tangki	tangki.m4a	blue	1,2,3,4	tangkap	tangkap.m4a	blue	1,2,3,4	tongkat	tongkat.m4a	red	1,2,3,4	tongkang	tongkang.m4a	red	1,2,3,4
ms-MY	11	2	3	bang_sound.m4a	bing_sound.m4a	bangsal	bangsal.m4a	blue	1,2,3,4	bangga	bangga.m4a	blue	1,2,3,4	bangku	bangku.m4a	blue	1,2,3,4	bingka	bingka.m4a	red	1,2,3,4
ms-MY	12	1	1	rang_sound.m4a	lang_sound.m4a	langsir	langsir.m4a	red	1,2,3,4	rangkap	rangkap.m4a	blue	1,2,3,4	rangkul	rangkul.m4a	blue	1,2,3,4	rangka	rangka.m4a	blue	1,2,3,4
ms-MY	12	1	2	sang_sound.m4a	cang_sound.m4a	cangkul	cangkul.m4a	red	1,2,3,4	cangkuk	cangkuk.m4a	red	1,2,3,4	sangkar	sangkar.m4a	blue	1,2,3,4	canggih	canggih.m4a	red	1,2,3,4
ms-MY	12	1	3	ting_sound.m4a	jang_sound.m4a	tinggi	tinggi.m4a	blue	1,2,3,4	janggut	janggut.m4a	red	1,2,3,4	tingkap	tingkap.m4a	blue	1,2,3,4	janggal	janggal.m4a	red	1,2,3,4
ms-MY	12	2	1	rang_sound.m4a	lang_sound.m4a	langsir	langsir.m4a	red	1,2,3,4	rangkap	rangkap.m4a	blue	1,2,3,4	rangkul	rangkul.m4a	blue	1,2,3,4	rangka	rangka.m4a	blue	1,2,3,4
ms-MY	12	2	2	sang_sound.m4a	cang_sound.m4a	cangkul	cangkul.m4a	red	1,2,3,4	cangkuk	cangkuk.m4a	red	1,2,3,4	sangkar	sangkar.m4a	blue	1,2,3,4	canggih	canggih.m4a	red	1,2,3,4
ms-MY	12	2	3	ting_sound.m4a	jang_sound.m4a	tinggi	tinggi.m4a	blue	1,2,3,4	janggut	janggut.m4a	red	1,2,3,4	tingkap	tingkap.m4a	blue	1,2,3,4	janggal	janggal.m4a	red	1,2,3,4
ms-MY	13	1	1	cing_sound.m4a	ring_sound.m4a	kering	kering.m4a	red	3,4,5,6	cacing	cacing.m4a	blue	3,4,5,6	kucing	kucing.m4a	blue	3,4,5,6	dacing	dacing.m4a	blue	3,4,5,6
ms-MY	13	1	2	bang_sound.m4a	bing_sound.m4a	lubang	lubang.m4a	blue	3,4,5,6	abang	abang.m4a	blue	2,3,4,5	terbang	terbang.m4a	blue	4,5,6,7	kambing	kambing.m4a	red	4,5,6,7
ms-MY	13	1	3	bung_sound.m4a	bong_sound.m4a	kembung	kembung.m4a	blue	4,5,6,7	bumbung	bumbung.m4a	blue	4,5,6,7	sombong	sombong.m4a	red	4,5,6,7	rebung	rebung.m4a	blue	3,4,5,6
ms-MY	13	2	1	cing_sound.m4a	ring_sound.m4a	kering	kering.m4a	red	3,4,5,6	cacing	cacing.m4a	blue	3,4,5,6	kucing	kucing.m4a	blue	3,4,5,6	dacing	dacing.m4a	blue	3,4,5,6
ms-MY	13	2	2	bang_sound.m4a	bing_sound.m4a	lubang	lubang.m4a	blue	3,4,5,6	abang	abang.m4a	blue	2,3,4,5	terbang	terbang.m4a	blue	4,5,6,7	kambing	kambing.m4a	red	4,5,6,7
ms-MY	13	2	3	bung_sound.m4a	bong_sound.m4a	kembung	kembung.m4a	blue	4,5,6,7	bumbung	bumbung.m4a	blue	4,5,6,7	sombong	sombong.m4a	red	4,5,6,7	rebung	rebung.m4a	blue	3,4,5,6
ms-MY	14	1	1	kang_sound.m4a	ceng_sound.m4a	loceng	loceng.m4a	red	3,4,5,6	longkang	longkang.m4a	blue	5,6,7,8	bonceng	bonceng.m4a	red	4,5,6,7	tongkang	tongkang.m4a	blue	5,6,7,8
ms-MY	14	1	2	peng_sound.m4a	sung_sound.m4a	lesung	lesung.m4a	red	3,4,5,6	langsung	langsung.m4a	red	5,6,7,8	topeng	topeng.m4a	blue	3,4,5,6	usung	usung.m4a	red	2,3,4,5
ms-MY	14	1	3	teng_sound.m4a	tong_sound.m4a	sotong	sotong.m4a	red	3,4,5,6	loteng	loteng.m4a	blue	3,4,5,6	conteng	conteng.m4a	blue	4,5,6,7	lontong	lontong.m4a	red	4,5,6,7
ms-MY	14	2	1	kang_sound.m4a	ceng_sound.m4a	loceng	loceng.m4a	red	3,4,5,6	longkang	longkang.m4a	blue	5,6,7,8	bonceng	bonceng.m4a	red	4,5,6,7	tongkang	tongkang.m4a	blue	5,6,7,8
ms-MY	14	2	2	peng_sound.m4a	sung_sound.m4a	lesung	lesung.m4a	red	3,4,5,6	langsung	langsung.m4a	red	5,6,7,8	topeng	topeng.m4a	blue	3,4,5,6	usung	usung.m4a	red	2,3,4,5
ms-MY	14	2	3	teng_sound.m4a	tong_sound.m4a	sotong	sotong.m4a	red	3,4,5,6	loteng	loteng.m4a	blue	3,4,5,6	conteng	conteng.m4a	blue	4,5,6,7	lontong	lontong.m4a	red	4,5,6,7
ms-MY	15	1	1	kha_sound.m4a	khe_sound.m4a	khatam	khatam.m4a	blue	1,2,3	khamis	khamis.m4a	blue	1,2,3	khemah	khemah.m4a	red	1,2,3	khat	khat.m4a	blue	1,2,3
ms-MY	15	1	2	sya_sound.m4a	khi_sound.m4a	syarat	syarat.m4a	blue	1,2,3	syarikat	syarikat.m4a	blue	1,2,3	khilaf	khilaf.m4a	red	1,2,3	syariat	syariat.m4a	blue	1,2,3
ms-MY	15	1	3	nga_sound.m4a	nya_sound.m4a	ngajat	ngajat.m4a	blue	1,2,3	nganga	nganga.m4a	blue	1,2,3	nyala	nyala.m4a	red	1,2,3	nyamuk	nyamuk.m4a	red	1,2,3
ms-MY	15	2	1	kha_sound.m4a	khe_sound.m4a	khatam	khatam.m4a	blue	1,2,3	khamis	khamis.m4a	blue	1,2,3	khemah	khemah.m4a	red	1,2,3	khat	khat.m4a	blue	1,2,3
ms-MY	15	2	2	sya_sound.m4a	khi_sound.m4a	syarat	syarat.m4a	blue	1,2,3	syarikat	syarikat.m4a	blue	1,2,3	khilaf	khilaf.m4a	red	1,2,3	syariat	syariat.m4a	blue	1,2,3
ms-MY	15	2	3	nga_sound.m4a	nya_sound.m4a	ngajat	ngajat.m4a	blue	1,2,3	nganga	nganga.m4a	blue	1,2,3	nyala	nyala.m4a	red	1,2,3	nyamuk	nyamuk.m4a	red	1,2,3
ms-MY	16	1	1	sta_sound.m4a	ste_sound.m4a	statik	statik.m4a	blue	1,2,3	status	status.m4a	blue	1,2,3	stesen	stesen.m4a	red	1,2,3	stadium	stadium.m4a	blue	1,2,3
ms-MY	16	1	2	ngi_sound.m4a	sku_sound.m4a	skuter	skuter.m4a	red	1,2,3	ngilu	ngilu.m4a	blue	1,2,3	ngiang	ngiang.m4a	blue	1,2,3	skuba	skuba.m4a	red	1,2,3
ms-MY	16	1	3	syi_sound.m4a	tre_sound.m4a	treler	treler.m4a	red	1,2,3	syiling	syiling.m4a	blue	1,2,3	syirik	syirik.m4a	blue	1,2,3	syiar	syiar.m4a	blue	1,2,3
ms-MY	16	2	1	sta_sound.m4a	ste_sound.m4a	statik	statik.m4a	blue	1,2,3	status	status.m4a	blue	1,2,3	stesen	stesen.m4a	red	1,2,3	stadium	stadium.m4a	blue	1,2,3
ms-MY	16	2	2	ngi_sound.m4a	sku_sound.m4a	skuter	skuter.m4a	red	1,2,3	ngilu	ngilu.m4a	blue	1,2,3	ngiang	ngiang.m4a	blue	1,2,3	skuba	skuba.m4a	red	1,2,3
ms-MY	16	2	3	syi_sound.m4a	tre_sound.m4a	treler	treler.m4a	red	1,2,3	syiling	syiling.m4a	blue	1,2,3	syirik	syirik.m4a	blue	1,2,3	syiar	syiar.m4a	blue	1,2,3
