#LanguageTag	Level	Worksheet	ProblemNo	Problem	SentenceSound	UpperCase
ms-MY	14	1	2	Ibu memasak di [dapur].	ibumemasakdidapur.m4a	n
ms-MY	14	1	3	Sekolah [Aini] besar.	sekolahainibesar.m4a	n
ms-MY	14	2	1	Kasut itu@di bawah [meja].	kasutitudibawahmeja.m4a	n
ms-MY	14	2	2	Siti baring@di bilik [tidur].	sitibaringdibiliktidur.m4a	n
ms-MY	14	2	3	Beg itu@di atas [kerusi].	begitudiataskerusi.m4a	n
ms-MY	15	1	1	Ravi sangat [gembira].	ravisangatgembira.m4a	n
ms-MY	15	1	2	[Kambing] itu di dalam kandang.	kambingitudidalamkandang.m4a	y
ms-MY	15	1	3	Cicak itu di [dinding].	cicakitudidinding.m4a	n
ms-MY	15	2	1	Tali ini [pendek].	taliinipendek.m4a	n
ms-MY	15	2	2	Ini [semut] merah.	inisemutmerah.m4a	n
ms-MY	15	2	3	[Kera] itu di atas pokok.	keraitudiataspokok.m4a	y
ms-MY	16	1	1	Kumbang ini berwarna [hitam].	kumbanginiberwarnahitam.m4a	n
ms-MY	16	1	2	[Adik] seorang yang pemalu.	adikseorangyangpemalu.m4a	y
ms-MY	16	1	3	Ali seorang yang [baik] hati.	aliseorangyangbaikhati.m4a	n
ms-MY	16	2	1	Rak [kasut] itu besar.	rakkasutitubesar.m4a	n
ms-MY	16	2	2	Nenek saya sudah [tua].	neneksayasudahtua.m4a	n
ms-MY	16	2	3	Badan Devi [sihat].	badandevisihat.m4a	n
ms-MY	17	1	1	Ibu memasak lauk [ikan].	ibumemasaklaukikan.m4a	n
ms-MY	17	1	2	Itu pokok [rambutan].	itupokokrambutan.m4a	n
ms-MY	17	1	3	Saya ada sebatang [pensel].	sayaadasebatangpensel.m4a	n
ms-MY	17	2	1	Ravi ada sebuah [van].	raviadasebuahvan.m4a	n
ms-MY	17	2	2	Mimi seorang [guru].	mimiseorangguru.m4a	n
ms-MY	17	2	3	Abang [beli] sebuah buku.	abangbelisebuahbuku.m4a	n
ms-MY	18	1	1	[Tupai] melompat tinggi.	tupaimelompattinggi.m4a	y
ms-MY	18	1	2	Ikan berenang@di dalam [kolam].	ikanberenangdidalamkolam.m4a	n
ms-MY	18	1	3	[Pintu] rumah ini rosak.	pinturumahinirosak.m4a	y
ms-MY	18	2	1	Emak beli [kipas] baharu.	emakbelikipasbaharu.m4a	n
ms-MY	18	2	2	Ini [nenek] Samad.	inineneksamad.m4a	n
ms-MY	18	2	3	[Cincin] emas itu mahal.	cincinemasitumahal.m4a	y
ms-MY	19	1	1	[Bantal] itu bersih.	bantalitubersih.m4a	y
ms-MY	19	1	2	Adik suka [menari].	adiksukamenari.m4a	n
ms-MY	19	1	3	[Sampan] itu di tepi sungai.	sampanituditepisungai.m4a	y
ms-MY	19	2	1	Mereka suka makan [sayur].	merekasukamakansayur.m4a	n
ms-MY	19	2	2	[Lantai] ini licin.	lantaiinilicin.m4a	y
ms-MY	19	2	3	Saya [pandai] mewarna.	sayapandaimewarna.m4a	n
ms-MY	20	1	1	Siapa [nama] adik kamu?	siapanamaadikkamu.m4a	n
ms-MY	20	1	2	Di mana [rumah] Ravi?	dimanarumahravi.m4a	n
ms-MY	20	1	3	Apa [warna] baju ini?	apawarnabajuini.m4a	n
ms-MY	20	2	1	Bila hari [jadi] kamu?	bilaharijadikamu.m4a	n
ms-MY	20	2	2	Ini [khemah] siapa?	inikhemahsiapa.m4a	n
ms-MY	20	2	3	Kamu [tinggal] di mana?	kamutinggaldimana.m4a	n
ms-MY	21	1	1	Berapa umur kamu [tahun] ini?	berapaumurkamutahunini.m4a	n
ms-MY	21	1	2	Siapa [kawan] baik Kamal?	siapakawanbaikkamal.m4a	n
ms-MY	21	1	3	Di mana [kunci] itu hilang?	dimanakunciituhilang.m4a	n
ms-MY	21	2	1	Ming suka makan buah [apa]?	mingsukamakanbuahapa.m4a	n
ms-MY	21	2	2	Haiwan apa makan buah [pisang]?	haiwanapamakanbuahpisang.m4a	n
ms-MY	21	2	3	Pukul berapa kamu [tidur]?	pukulberapakamutidur.m4a	n
ms-MY	22	1	1	Rumah itu [besar].	rumahitubesar.m4a	n
ms-MY	22	1	2	Periuk itu [panas].	periukitupanas.m4a	n
ms-MY	22	1	3	Katil itu di tepi [tingkap].	katilituditepitingkap.m4a	n
ms-MY	22	2	1	[Mangkuk] itu pecah.	mangkukitupecah.m4a	y
ms-MY	22	2	2	[Pembaris] itu pendek.	pembarisitupendek.m4a	y
ms-MY	22	2	3	Aki beli [rak] kayu.	akibelirakkayu.m4a	n
ms-MY	23	1	1	Lampu itu [rosak].	lampuiturosak.m4a	n
ms-MY	23	1	2	Cikgu ada [komputer] baharu.	cikguadakomputerbaharu.m4a	n
ms-MY	23	1	3	Ali suka [menyanyi].	Alisukamenyanyi.m4a	n
ms-MY	23	2	1	Aini dan Siti pergi ke [kedai].	ainidansitipergikekedai.m4a	n
ms-MY	23	2	2	Mei berkelah@di tepi [pantai].	meiberkelahditepipantai.m4a	n
ms-MY	23	2	3	Budak itu bermain@di [padang].	budakitubermaindipadang.m4a	n
ms-MY	24	1	1	Pak Cik tanam [petola]@di kebun.	pakciktanampetoladikebun.m4a	n
ms-MY	24	1	2	Ayah cuci [longkang].	ayahcucilongkang.m4a	n
ms-MY	24	1	3	Kumar siram pokok [keladi].	kumarsirampokokkeladi.m4a	n
ms-MY	24	2	1	Adik belajar@bermain [biola].	adikbelajarbermainbiola.m4a	n
ms-MY	24	2	2	Ravi ialah [abang] saya.	raviialahabangsaya.m4a	n
ms-MY	24	2	3	Bayi suka [minum] susu.	bayisukaminumsusu.m4a	n
