#데이터시트 카테고리------------------  #question type: 문형의 종류  #script: LC의 경우에는 오디오파일, RC의 경우에는 읽어야 할 지문을 의미함 #question: 질문에 해당하는 부분으로 문장이나 이미지, 빈칸이 들어 갈 수 있음  #audio: question의 오디오 파일 #answer type: 제시되는 보기의 종류로 text 또는 image  #answer count: 보기의 개수로 3개 또는 4개가 가능하다  #option1,2,3,4: 보기를 의미하고 랜덤으로 출력된다  #answer: 보기 중 답에 해당하는 보기를 써넣음. 이곳과 일치하는 보기를 정답 처리  #Question Type 설명------------------  #lcallinone: listening의 all in one 유형으로 좌측에서는 지문을 오디오로, 우측에서는 문제를 보여주는 유형  #rcallinone: reading의 all in one 유형으로 좌측에서는 지문을 텍스트로, 우측에서는 문제를 보여주는 유형  #listeningonly:listning divided 유형에서 지문을 오디오로 출력하기만 하는 부분으로 스토리가 음성으로 제시되고 페이지 버튼을 넘겨서 문제로 넘어가도록 한다.  #readingonly: reading divided 유형에서 읽기만 하는 부분으로 지문이 텍스트로 제시되고 아이들이 글을 스스로 읽은 뒤 페이지 버튼을 넘겨서 문제로 넘어가도록 한다.  #multiplechoices: diviided 유형에서 사용할 수 있는 선다형 문제유형  #fiiintheblank: diviided 유형에서 사용할 수 있는 문제로 문장의 빈칸을 채워넣는 문제유형  #ordering: diviided 유형에서 사용할 수 있는 문제로 주어진 문장의 순서를 배열하는 문제유형													
#LanguageTag	Level	WorkSheet	Problem	QuestionType	Script	Question	Audio	AnswerType	Option1	Option2	Option3	Option4	Answer
ms-MY	21	1	2	readingonly	Ali dan bapa tinggal di tepi laut. Mereka tangkap ikan. Mereka tangkap ikan dengan jala. Mereka dapat banyak ikan setiap hari. Mereka jual ikan di pasar.								
ms-MY	21	1	3	fillintheblank		Ali dan bapa tinggal di tepi [laut].	ms_my_rc_21_1_p3_q.m4a	text	sungai	hutan			laut
ms-MY	21	1	4	multiplechoices		Ali dan bapa buat apa?	ms_my_rc_21_1_p4_q.m4a	text	Bina rumah	Tangkap ikan	Beli ikan		Tangkap ikan
ms-MY	21	1	5	multiplechoices		Mereka tangkap ikan dengan apa?	ms_my_rc_21_1_p5_q.m4a	text	Jala	Joran	Baldi		Jala
ms-MY	21	2	1	title	Cerita 2								
ms-MY	21	2	2	readingonly	Saya suka arnab. Arnab ada yang kecil seperti mangga. Ada yang besar seperti kelapa. Arnab pandai melompat. Arnab melompat tinggi.								
ms-MY	21	2	3	fillintheblank		Arnab melompat [tinggi].	ms_my_rc_21_2_p3_q.m4a	text	perlahan	rendah			tinggi
ms-MY	21	2	4	multiplechoices		Arnab pandai buat apa?	ms_my_rc_21_2_p4_q.m4a	text	Melompat	Berlari	Terbang		Melompat
ms-MY	21	2	5	multiplechoices		Petikan ini tentang apa?	ms_my_rc_21_2_p5_q.m4a	text	Arnab	Monyet	Ayam		Arnab
ms-MY	22	1	1	title	Cerita 1								
ms-MY	22	1	2	readingonly	Kavita ada keluarga besar. Kavita ada seorang abang dan seorang kakak. Dia ada dua orang adik. Seorang adik perempuan dan seorang adik lelaki. Kavita suka main dengan adik-beradik. Dia rasa seronok.								
ms-MY	22	1	3	fillintheblank		Kavita ada keluarga [besar].	ms_my_rc_22_1_p3_q.m4a	text	kecil	banyak			besar
ms-MY	22	1	4	multiplechoices		Kavita suka buat apa dengan adik-beradik?	ms_my_rc_22_1_p4_q.m4a	text	Bermain	Berlari	Belajar		Bermain
ms-MY	22	1	5	multiplechoices		Kavita ada berapa orang adik?	ms_my_rc_22_1_p5_q.m4a	text	Dua	Seorang	Tiga		Dua
ms-MY	22	2	1	title	Cerita 2								
ms-MY	22	2	2	readingonly	Saya nampak sebatang pokok. Pokok itu ada batang yang kuat. Batang pokok warna coklat. Pokok itu ada dahan. Dahan pokok warna coklat juga. Pokok itu ada banyak daun. Daun warna hijau.								
ms-MY	22	2	3	fillintheblank		Batang pokok [kuat].	ms_my_rc_22_2_p3_q.m4a	text	lemah	pendek			kuat
ms-MY	22	2	4	multiplechoices		Petikan ini tentang apa?	ms_my_rc_22_2_p4_q.m4a	text	Pokok	Tikus	Singa		Pokok
ms-MY	22	2	5	multiplechoices		Daun warna apa?	ms_my_rc_22_2_p5_q.m4a	text	Coklat	Hijau	Biru		Hijau
ms-MY	23	1	1	title	Cerita 1								
ms-MY	23	1	2	readingonly	Devi seorang jururawat. Dia bantu orang sakit. Dia kerja dengan doktor. Devi seorang jururawat yang baik. Devi suka kerjanya.								
ms-MY	23	1	3	multiplechoices		Devi kerja apa?	ms_my_rc_23_1_p3_q.m4a	text	Jururawat	Guru	Polis		Jururawat
ms-MY	23	1	4	multiplechoices		Devi bantu siapa?	ms_my_rc_23_1_p4_q.m4a	text	Orang sakit	Orang sihat	Haiwan		Orang sakit
ms-MY	23	1	5	multiplechoices		Devi kerja dengan siapa?	ms_my_rc_23_1_p5_q.m4a	text	Doktor	Polis	Guru		Doktor
ms-MY	23	2	1	title	Cerita 2								
ms-MY	23	2	2	readingonly	Ming suka tinggal dekat laut. Laut sangat luas dan penuh dengan air. Ming boleh nampak bot di laut. Dia juga boleh nampak ikan. Ming boleh berenang di laut.								
ms-MY	23	2	3	fillintheblank		Ming [suka] laut.	ms_my_rc_23_2_p3_q.m4a	text	rindu	tidak suka			suka
ms-MY	23	2	4	multiplechoices		Ming buat apa di laut?	ms_my_rc_23_2_p4_q.m4a	text	Berenang	Terbang	Berlari		Berenang
ms-MY	23	2	5	multiplechoices		Ming boleh nampak apa di laut?	ms_my_rc_23_2_p5_q.m4a	text	Bot sahaja	Rumput	Bot dan ikan		Bot dan ikan
ms-MY	24	1	1	title	Cerita 1								
ms-MY	24	1	2	readingonly	Saya suka gajah. Gajah sangat besar. Gajah ada belalai yang panjang. Gajah makan banyak. Gajah makan rumput, daun dan tumbuhan lain.								
ms-MY	24	1	3	fillintheblank		Gajah sangat [besar].	ms_my_rc_24_1_p3_q.m4a	text	kecil	comel			besar
ms-MY	24	1	4	multiplechoices		Gajah makan apa?	ms_my_rc_24_1_p4_q.m4a	text	Rumput, daun, dan tumbuhan lain	Daging	Daun sahaja		Rumput, daun, dan tumbuhan lain
ms-MY	24	1	5	fillintheblank		Belalai gajah [panjang].	ms_my_rc_24_1_p5_q.m4a	text	pendek	tajam			panjang
ms-MY	24	2	1	title	Cerita 2								
ms-MY	24	2	2	readingonly	Aini suka melukis. Dia lukis benda yang dia nampak. Dia lukis rumah. Dia lukis matahari. Dia lukis pokok. Dia lukis lembu. Aini boleh melukis sepanjang hari.								
ms-MY	24	2	3	fillintheblank		Aini suka [melukis].	ms_my_rc_24_2_p3_q.m4a	text	menulis	menyanyi			melukis
ms-MY	24	2	4	multiplechoices		Aini lukis apa?	ms_my_rc_24_2_p4_q.m4a	text	Rumah, matahari, pokok, dan lembu	Sungai, laut, dan langit	Padang, jalan, dan kereta		Rumah, matahari, pokok, dan lembu
ms-MY	24	2	5	fillintheblank		Aini boleh melukis [sepanjang hari].	ms_my_rc_24_2_p5_q.m4a	text	kadangkala	sebentar			sepanjang hari
ms-MY	25	1	1	title	Cerita 1								
ms-MY	25	1	2	readingonly	Mei suka tengok bintang. Dia tengok bintang dari rumah. Dia tengok bintang pada waktu malam. Dia tengok bintang di langit. Dia cuba kira semua bintang tetapi bintang terlalu banyak.								
ms-MY	25	1	3	multiplechoices		Mei suka tengok apa?	ms_my_rc_25_1_p3_q.m4a	text	Bintang	Matahari	Awan		Bintang
ms-MY	25	1	4	multiplechoices		Waktu bila Mei tengok bintang?	ms_my_rc_25_1_p4_q.m4a	text	Pagi	Petang	Malam		Malam
ms-MY	25	1	5	fillintheblank		Mei tengok bintang di [langit].	ms_my_rc_25_1_p5_q.m4a	text	laut	hutan	Tiada		langit
ms-MY	25	2	1	title	Cerita 2								
ms-MY	25	2	2	readingonly	Itu sebatang pokok pisang. Buah pisang tumbuh dalam tandan. Kulit pisang ada yang hijau, ada yang kuning dan ada yang perang. Saya suka makan pisang yang berkulit kuning. Pisang itu manis dan sedap.								
ms-MY	25	2	3	fillintheblank		Saya suka makan pisang yang berkulit [kuning].	ms_my_rc_25_2_p3_q.m4a	text	putih	hijau			kuning
ms-MY	25	2	4	fillintheblank		Pisang kuning manis dan [sedap].	ms_my_rc_25_2_p4_q.m4a	text	pahit	pedas			sedap
ms-MY	25	2	5	multiplechoices		Kulit pisang warna apa?	ms_my_rc_25_2_p5_q.m4a	text	Hijau sahaja	Hijau, kuning, dan perang	Biru		Hijau, kuning, dan perang
ms-MY	26	1	1	title	Cerita 1								
