# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# Type	# Word	# GoodImage	# BadImage	# Sound
ms-MY	3	1	4	LEGIT	hujan	images/hujan.png	images/rumah.png	en/legit/hujan.m4a
ms-MY	3	1	5	LEGIT	ninja	images/ninja.png	images/cicak.png	en/legit/ninja.m4a
ms-MY	3	1	6	LEGIT	baldi	images/baldi.png	images/ninja.png	en/legit/baldi.m4a
ms-MY	3	1	7	LEGIT	lembu	images/lembu.png	images/hujan.png	en/legit/lembu.m4a
ms-MY	3	2	1	LEGIT	cicak	images/cicak.png	images/hujan.png	en/legit/cicak.m4a
ms-MY	3	2	2	LEGIT	rumah	images/rumah.png	images/ninja.png	en/legit/rumah.m4a
ms-MY	3	2	3	LEGIT	hujan	images/hujan.png	images/katak.png	en/legit/hujan.m4a
ms-MY	3	2	4	LEGIT	katak	images/katak.png	images/cicak.png	en/legit/katak.m4a
ms-MY	3	2	5	LEGIT	ninja	images/ninja.png	images/baldi.png	en/legit/ninja.m4a
ms-MY	3	2	6	LEGIT	lembu	images/lembu.png	images/rumah.png	en/legit/lembu.m4a
ms-MY	3	2	7	LEGIT	baldi	images/baldi.png	images/lembu.png	en/legit/baldi.m4a
ms-MY	3	3	1	LEGIT	rumah	images/rumah.png	images/cicak.png	en/legit/rumah.m4a
ms-MY	3	3	2	LEGIT	hujan	images/hujan.png	images/rumah.png	en/legit/hujan.m4a
ms-MY	3	3	3	LEGIT	katak	images/katak.png	images/baldi.png	en/legit/katak.m4a
ms-MY	3	3	4	LEGIT	cicak	images/cicak.png	images/lembu.png	en/legit/cicak.m4a
ms-MY	3	3	5	LEGIT	baldi	images/baldi.png	images/katak.png	en/legit/baldi.m4a
ms-MY	3	3	6	LEGIT	ninja	images/ninja.png	images/hujan.png	en/legit/ninja.m4a
ms-MY	3	3	7	LEGIT	lembu	images/lembu.png	images/ninja.png	en/legit/lembu.m4a
ms-MY	3	4	1	LEGIT	hujan	images/hujan.png	images/lembu.png	en/legit/hujan.m4a
ms-MY	3	4	2	LEGIT	katak	images/katak.png	images/baldi.png	en/legit/katak.m4a
ms-MY	3	4	3	LEGIT	cicak	images/cicak.png	images/rumah.png	en/legit/cicak.m4a
ms-MY	3	4	4	LEGIT	rumah	images/rumah.png	images/katak.png	en/legit/rumah.m4a
ms-MY	3	4	5	LEGIT	lembu	images/lembu.png	images/ninja.png	en/legit/lembu.m4a
ms-MY	3	4	6	LEGIT	baldi	images/baldi.png	images/cicak.png	en/legit/baldi.m4a
ms-MY	3	4	7	LEGIT	ninja	images/ninja.png	images/hujan.png	en/legit/ninja.m4a
ms-MY	3	5	1	LEGIT	ninja	images/ninja.png	images/ninja.png	en/legit/ninja.m4a
ms-MY	3	5	2	LEGIT	baldi	images/baldi.png	images/lembu.png	en/legit/baldi.m4a
ms-MY	3	5	3	LEGIT	lembu	images/lembu.png	images/hujan.png	en/legit/lembu.m4a
ms-MY	3	5	4	LEGIT	katak	images/katak.png	images/baldi.png	en/legit/katak.m4a
ms-MY	3	5	5	LEGIT	cicak	images/cicak.png	images/rumah.png	en/legit/cicak.m4a
ms-MY	3	5	6	LEGIT	rumah	images/rumah.png	images/cicak.png	en/legit/rumah.m4a
ms-MY	3	5	7	LEGIT	hujan	images/hujan.png	images/katak.png	en/legit/hujan.m4a
ms-MY	3	6	1	LEGIT	baldi	images/baldi.png	images/katak.png	en/legit/baldi.m4a
ms-MY	3	6	2	LEGIT	lembu	images/lembu.png	images/cicak.png	en/legit/lembu.m4a
ms-MY	3	6	3	LEGIT	ninja	images/ninja.png	images/ninja.png	en/legit/ninja.m4a
ms-MY	3	6	4	LEGIT	cicak	images/cicak.png	images/hujan.png	en/legit/cicak.m4a
ms-MY	3	6	5	LEGIT	rumah	images/rumah.png	images/lembu.png	en/legit/rumah.m4a
ms-MY	3	6	6	LEGIT	hujan	images/hujan.png	images/baldi.png	en/legit/hujan.m4a
ms-MY	3	6	7	LEGIT	katak	images/katak.png	images/rumah.png	en/legit/katak.m4a
ms-MY	3	7	1	LEGIT	lembu	images/lembu.png	images/rumah.png	en/legit/lembu.m4a
ms-MY	3	7	2	LEGIT	ninja	images/ninja.png	images/hujan.png	en/legit/ninja.m4a
ms-MY	3	7	3	LEGIT	baldi	images/baldi.png	images/cicak.png	en/legit/baldi.m4a
ms-MY	3	7	4	LEGIT	rumah	images/rumah.png	images/ninja.png	en/legit/rumah.m4a
ms-MY	3	7	5	LEGIT	hujan	images/hujan.png	images/katak.png	en/legit/hujan.m4a
ms-MY	3	7	6	LEGIT	katak	images/katak.png	images/lembu.png	en/legit/katak.m4a
ms-MY	3	7	7	LEGIT	cicak	images/cicak.png	images/baldi.png	en/legit/cicak.m4a
ms-MY	4	1	1	LEGIT	landak	images/landak.png	images/mangga.png	en/legit/landak.m4a
ms-MY	4	1	2	LEGIT	rumput	images/rumput.png	images/pisang.png	en/legit/rumput.m4a
ms-MY	4	1	3	LEGIT	mangga	images/mangga.png	images/kerang.png	en/legit/mangga.m4a
ms-MY	4	1	4	LEGIT	tangga	images/tangga.png	images/landak.png	en/legit/tangga.m4a
ms-MY	4	1	5	LEGIT	pisang	images/pisang.png	images/rumput.png	en/legit/pisang.m4a
ms-MY	4	1	6	LEGIT	kerang	images/kerang.png	images/nyamuk.png	en/legit/kerang.m4a
ms-MY	4	1	7	LEGIT	nyamuk	images/nyamuk.png	images/tangga.png	en/legit/nyamuk.m4a
ms-MY	4	2	1	LEGIT	rumput	images/rumput.png	images/tangga.png	en/legit/rumput.m4a
ms-MY	4	2	2	LEGIT	mangga	images/mangga.png	images/landak.png	en/legit/mangga.m4a
ms-MY	4	2	3	LEGIT	tangga	images/tangga.png	images/pisang.png	en/legit/tangga.m4a
ms-MY	4	2	4	LEGIT	landak	images/landak.png	images/kerang.png	en/legit/landak.m4a
ms-MY	4	2	5	LEGIT	pisang	images/pisang.png	images/mangga.png	en/legit/pisang.m4a
ms-MY	4	2	6	LEGIT	nyamuk	images/nyamuk.png	images/rumput.png	en/legit/nyamuk.m4a
ms-MY	4	2	7	LEGIT	kerang	images/kerang.png	images/nyamuk.png	en/legit/kerang.m4a
ms-MY	4	3	1	LEGIT	mangga	images/mangga.png	images/rumput.png	en/legit/mangga.m4a
ms-MY	4	3	2	LEGIT	tangga	images/tangga.png	images/tangga.png	en/legit/tangga.m4a
ms-MY	4	3	3	LEGIT	landak	images/landak.png	images/mangga.png	en/legit/landak.m4a
ms-MY	4	3	4	LEGIT	rumput	images/rumput.png	images/nyamuk.png	en/legit/rumput.m4a
ms-MY	4	3	5	LEGIT	kerang	images/kerang.png	images/landak.png	en/legit/kerang.m4a
ms-MY	4	3	6	LEGIT	pisang	images/pisang.png	images/pisang.png	en/legit/pisang.m4a
ms-MY	4	3	7	LEGIT	nyamuk	images/nyamuk.png	images/kerang.png	en/legit/nyamuk.m4a
ms-MY	4	4	1	LEGIT	tangga	images/tangga.png	images/kerang.png	en/legit/tangga.m4a
ms-MY	4	4	2	LEGIT	landak	images/landak.png	images/nyamuk.png	en/legit/landak.m4a
ms-MY	4	4	3	LEGIT	rumput	images/rumput.png	images/landak.png	en/legit/rumput.m4a
ms-MY	4	4	4	LEGIT	mangga	images/mangga.png	images/rumput.png	en/legit/mangga.m4a
ms-MY	4	4	5	LEGIT	nyamuk	images/nyamuk.png	images/pisang.png	en/legit/nyamuk.m4a
ms-MY	4	4	6	LEGIT	kerang	images/kerang.png	images/mangga.png	en/legit/kerang.m4a
ms-MY	4	4	7	LEGIT	pisang	images/pisang.png	images/tangga.png	en/legit/pisang.m4a
ms-MY	4	5	1	LEGIT	pisang	images/pisang.png	images/nyamuk.png	en/legit/pisang.m4a
ms-MY	4	5	2	LEGIT	kerang	images/kerang.png	images/rumput.png	en/legit/kerang.m4a
ms-MY	4	5	3	LEGIT	nyamuk	images/nyamuk.png	images/tangga.png	en/legit/nyamuk.m4a
ms-MY	4	5	4	LEGIT	landak	images/landak.png	images/mangga.png	en/legit/landak.m4a
ms-MY	4	5	5	LEGIT	rumput	images/rumput.png	images/kerang.png	en/legit/rumput.m4a
ms-MY	4	5	6	LEGIT	mangga	images/mangga.png	images/landak.png	en/legit/mangga.m4a
ms-MY	4	5	7	LEGIT	tangga	images/tangga.png	images/pisang.png	en/legit/tangga.m4a
ms-MY	4	6	1	LEGIT	kerang	images/kerang.png	images/pisang.png	en/legit/kerang.m4a
ms-MY	4	6	2	LEGIT	nyamuk	images/nyamuk.png	images/kerang.png	en/legit/nyamuk.m4a
ms-MY	4	6	3	LEGIT	pisang	images/pisang.png	images/nyamuk.png	en/legit/pisang.m4a
ms-MY	4	6	4	LEGIT	rumput	images/rumput.png	images/tangga.png	en/legit/rumput.m4a
ms-MY	4	6	5	LEGIT	mangga	images/mangga.png	images/rumput.png	en/legit/mangga.m4a
ms-MY	4	6	6	LEGIT	tangga	images/tangga.png	images/mangga.png	en/legit/tangga.m4a
ms-MY	4	7	1	LEGIT	nyamuk	images/nyamuk.png	images/landak.png	en/legit/nyamuk.m4a
ms-MY	4	7	2	LEGIT	pisang	images/pisang.png	images/mangga.png	en/legit/pisang.m4a
ms-MY	4	7	3	LEGIT	kerang	images/kerang.png	images/rumput.png	en/legit/kerang.m4a
ms-MY	4	7	4	LEGIT	mangga	images/mangga.png	images/pisang.png	en/legit/mangga.m4a
ms-MY	4	7	5	LEGIT	tangga	images/tangga.png	images/tangga.png	en/legit/tangga.m4a
ms-MY	4	7	6	LEGIT	landak	images/landak.png	images/kerang.png	en/legit/landak.m4a
