#languageTag	#level	#problem	#picture	#word_0	#word_0_loc	#word_0_voice	#word_1	#word_1_loc	#word_1_voice	#word_2	#word_2_loc	#word_2_voice	#word_3	#word_3_loc	#word_3_voice	#word_4	#word_4_loc	#word_4_voice	#word_5	#word_5_loc	#word_5_voice	#word_6	#word_6_loc	#word_6_voice
ms-MY	4	2	image_4_2.jpg	haiwan	280.-1520	haiwan.m4a	beruang	757.-899	beruang.m4a	ular	1240.-1136	ular.m4a	monyet	751.-577	monyet.m4a									
ms-MY	4	3	image_4_3.jpg	sangkar	280.-1520	sangkar.m4a	ayam	280.-989	ayam.m4a	anak ayam	1280.-482	anakayam.m4a	telur	1280.-1235	telur.m4a									
ms-MY	4	4	image_4_4.jpg	ladang	280.-1520	ladang.m4a	bangsal	394.-438	bangsal.m4a	itik	1324.-753	itik.m4a	ayam betina	257.-889	ayambetina.m4a	ayam jantan	883.-1146	ayamjantan.m4a						
ms-MY	5	1	image_5_1.jpg	kucing liar	725.-1520	kucingliar.m4a	harimau bintang	298.-944	harimaubintang.m4a	singa	1250.-1115	singa.m4a	harimau	989.-441	harimau.m4a									
ms-MY	5	2	image_5_2.jpg	burung	719.-914	burung.m4a	ayam jantan	1250.-368	ayamjantan.m4a	gagak	299.-1479	gagak.m4a	burung hantu	1250.-1479	burunghantu.m4a	angsa	299.-368	angsa.m4a						
ms-MY	5	3	image_5_3.jpg	serangga	694.-442	serangga.m4a	lebah	1274.-832	lebah.m4a	lalat	394.-1478	lalat.m4a	kumbang merah	617.-802	kumbangmerah.m4a	rama-rama	1249.-1359	ramarama.m4a						
ms-MY	5	4	image_5_4.jpg	hutan	1075.-413	hutan.m4a	tupai	299.-1074	tupai.m4a	ular	322.-472	ular.m4a	katak	1243.-704	katak.m4a	burung	1295.-1178	burung.m4a						
ms-MY	6	1	image_6_1.jpg	haiwan laut	735.-973	haiwanlaut.m4a	kurita	1054.-465	kurita.m4a	ikan lumba-lumba	1043.-1088	ikanlumbalumba.m4a	penyu	254.-465	penyu.m4a	tapak sulaiman	254.-1388	tapaksulaiman.m4a						
ms-MY	6	2	image_6_2.jpg	haiwan liar	1045.-465	haiwanliar.m4a	harimau bintang	1297.-1150	harimaubintang.m4a	babi hutan	1060.-950	babihutan.m4a	rusa	322.-714	rusa.m4a	burung	531.-1479	burung.m4a						
ms-MY	6	3	image_6_3.jpg	haiwan ternakan	725.-637	haiwanternakan.m4a	ayam betina	1321.-1355	ayambetina.m4a	kuda	690.-972	kuda.m4a	biri-biri	1355.-842	biribiri.m4a	itik	197.-1255	itik.m4a						
ms-MY	6	4	image_6_4.jpg	haiwan	728.-1480	haiwan.m4a	gajah	1243.-1012	gajah.m4a	zirafah	354.-1105	zirafah.m4a	kerbau	1188.-490	kerbau.m4a	zebra	473.-490	zebra.m4a						
ms-MY	7	1	image_7_1.jpg	pergerakan	521.-1480	pergerakan.m4a	berjalan	1316.-1295	berjalan.m4a	menangis	253.-1149	menangis.m4a	makan	313.-490	makan.m4a	tidur	880.-465	tidur.m4a						
ms-MY	7	2	image_7_2.jpg	pergerakan	1118.-1509	pergerakan.m4a	lompat	1358.-686	lompat.m4a	tendang	710.-1042	tendang.m4a	menari	710.-486	menari.m4a	berenang	230.-1244	berenang.m4a						
ms-MY	7	3	image_7_3.jpg	langit	301.-1509	langit.m4a	burung	787.-586	burung.m4a	layang-layang	1280.-832	layanglayang.m4a	belon	346.-832	belon.m4a	kapal terbang	969.-1156	kapalterbang.m4a						
ms-MY	7	4	image_7_4.jpg	sukan	293.-1474	sukan.m4a	berenang	857.-1168	berenang.m4a	berlari	1263.-443	berlari.m4a	berbasikal	745.-447	berbasikal.m4a	bermain ski	375.-1231	bermainski.m4a						
ms-MY	8	1	image_8_1.jpg	kata kerja	320.-1489	katakerja.m4a	membaca	553.-501	membaca.m4a	menulis	266.-1184	menulis.m4a	menyanyi	1134.-501	menyanyi.m4a	berlari	1260.-1213	berlari.m4a						
ms-MY	8	2	image_8_2.jpg	kata kerja	320.-1489	katakerja.m4a	makan	245.-972	makan.m4a	berenang	271.-540	berenang.m4a	tendang	1347.-586	tendang.m4a	bermain	1105.-1392	bermain.m4a						
ms-MY	8	3	image_8_3.jpg	bermain	264.-1501	bermain.m4a	bola sepak	243.-834	bolasepak.m4a	berenang	1118.-1027	berenang.m4a	sorok-sorok	1248.-397	soroksorok.m4a	membaca	693.-397	membaca.m4a						
ms-MY	8	4	image_8_4.jpg	bola	417.-1501	bola.m4a	bola sepak	322.-929	bolasepak.m4a	bola keranjang	1123.-1265	bolakeranjang.m4a	bola besbol	1249.-581	bolabesbol.m4a	bola tenis	321.-508	bolatenis.m4a						
ms-MY	9	1	image_9_1.jpg	singa	1106.-1477	singa.m4a	gigi	1128.-805	gigi.m4a	surai	468.-1291	surai.m4a	kaki	776.-569	kaki.m4a									
ms-MY	9	2	image_9_2.jpg	tikus	1066.-1437	tikus.m4a	ekor	368.-449	ekor.m4a	misai	1214.-1085	misai.m4a	bulu	425.-1085	bulu.m4a	tapak kaki	1214.-449	tapakkaki.m4a						
ms-MY	9	3	image_9_3.jpg	lebah	1095.-1442	lebah.m4a	sayap	1231.-871	sayap.m4a	sesungut	249.-808	sesungut.m4a	kepala	354.-1171	kepala.m4a	kaki	909.-569	kaki.m4a						
ms-MY	9	4	image_9_4.jpg	gajah	298.-1535	gajah.m4a	belalai	1209.-1244	belalai.m4a	gading	1302.-674	gading.m4a	belakang	354.-1171	belakang.m4a	telinga	575.-674	telinga.m4a						
ms-MY	10	1	image_10_1.jpg	memasak	713.-1513	memasak.m4a	telur	1261.-812	telur.m4a	susu	1304.-1176	susu.m4a	tepung	397.-879	tepung.m4a	gula	898.-506	gula.m4a	mentega	641.-1154	mentega.m4a			
ms-MY	10	2	image_10_2.jpg	melukis	719.-1488	melukis.m4a	cat	1251.-733	cat.m4a	berus	306.-733	berus.m4a	penggelek	367.-1090	penggelek.m4a	pelukis	1175.-1082	pelukis.m4a						
ms-MY	10	3	image_10_3.jpg	memancing	1073.-497	memancing.m4a	ikan	1162.-772	ikan.m4a	joran	1226.-1296	joran.m4a	baldi	309.-1150	baldi.m4a	pemancing	477.-882	pemancing.m4a						
ms-MY	10	4	image_10_4.jpg	bola sepak	294.-489	bolasepak.m4a	gol	918.-1249	gol.m4a	penjaga gol	1280.-1011	penjagagol.m4a	penendang	530.-933	penendang.m4a	padang	1101.-661	padang.m4a						
ms-MY	11	1	image_11_1.jpg	rumah	1112.-1504	rumah.m4a	tingkap	1245.-1120	tingkap.m4a	pintu	1130.-580	pintu.m4a	bumbung	492.-1242	bumbung.m4a	halaman	430.-606	halaman.m4a						
ms-MY	11	2	image_11_2.jpg	halaman	319.-1488	halaman.m4a	pokok	1256.-1272	pokok.m4a	bunga	680.-986	bunga.m4a	pagar	1256.-745	pagar.m4a	khemah	627.-554	khemah.m4a						
ms-MY	11	3	image_11_3.jpg	ruang tamu	319.-1488	ruangtamu.m4a	meja	1143.-627	meja.m4a	sofa	395.-609	sofa.m4a	lampu	654.-1168	lampu.m4a	televisyen	1281.-967	televisyen.m4a						
ms-MY	11	4	image_11_4.jpg	bilik air	280.-1520	bilikair.m4a	tab mandi	434.-605	tabmandi.m4a	singki	934.-690	singki.m4a	sabun	1094.-1035	sabun.m4a	buih	306.-963	buih.m4a	tuala	838.-1213	tuala.m4a			
ms-MY	12	1	image_12_1.jpg	langit	1106.-510	langit.m4a	matahari	1271.-968	matahari.m4a	awan	1044.-1283	awan.m4a	bulan	381.-858	bulan.m4a	bintang	309.-1283	bintang.m4a						
ms-MY	12	2	image_12_2.jpg	angkasa	859.-1488	angkasa.m4a	bumi	774.-599	bumi.m4a	darat	281.-913	darat.m4a	air	382.-1213	air.m4a	bulan	1317.-931	bulan.m4a						
ms-MY	12	3	image_12_3.jpg	cuaca	1073.-1479	cuaca.m4a	hujan	520.-976	hujan.m4a	mendung	1254.-944	mendung.m4a	berangin	1130.-445	berangin.m4a	berkabus	555.-466	berkabus.m4a						
ms-MY	12	4	image_12_4.jpg	warna	1134.-1520	warna.m4a	merah	849.-917	merah.m4a	biru	408.-1231	biru.m4a	hijau	608.-448	hijau.m4a	kuning	1134.-709	kuning.m4a						
ms-MY	13	1	image_13_1.jpg	hari	719.-1451	hari.m4a	pagi	366.-416	pagi.m4a	matahari terbit	336.-791	matahariterbit.m4a	petang	1167.-416	petang.m4a	matahari terbenam	1254.-1122	matahariterbenam.m4a						
ms-MY	13	2	image_13_2.jpg	waktu dalam sehari	194.-1011	waktudalamsehari.m4a	pagi	797.-1286	pagi.m4a	tengah hari	1331.-1140	tengahhari.m4a	petang	577.-591	petang.m4a	malam	1331.-608	malam.m4a						
ms-MY	13	3	image_13_3.jpg	cuaca	667.-934	cuaca.m4a	hujan	1298.-409	hujan.m4a	ribut	484.-426	ribut.m4a	salji	704.-1462	salji.m4a	kilat	1298.-1462	kilat.m4a						
ms-MY	13	4	image_13_4.jpg	warna	719.-1520	warna.m4a	hitam	1155.-1147	hitam.m4a	putih	628.-631	putih.m4a	ungu	408.-1147	ungu.m4a	oren	1257.-528	oren.m4a						
ms-MY	14	1	image_14_1.jpg	pokok	485.-1520	pokok.m4a	akar	680.-566	akar.m4a	batang	1171.-954	batang.m4a	dahan	1121.-1241	dahan.m4a	daun	355.-1168	daun.m4a						
ms-MY	14	2	image_14_2.jpg	kolam	297.-1520	kolam.m4a	itik	1223.-879	itik.m4a	batu	702.-430	batu.m4a	rumput	535.-1131	rumput.m4a									
ms-MY	14	3	image_14_3.jpg	alam semula jadi	297.-1520	alamsemulajadi.m4a	hutan	874.-1230	hutan.m4a	sungai kecil	1094.-597	sungaikecil.m4a	rumput	1223.-928	rumput.m4a	air terjun	389.-816	airterjun.m4a						
ms-MY	14	4	image_14_4.jpg	hutan	319.-1488	hutan.m4a	anak rusa	892.-536	anakrusa.m4a	sungai kecil	353.-853	sungaikecil.m4a	batu	1280.-871	batu.m4a	pokok	1060.-1190	pokok.m4a						
ms-MY	15	1	image_15_1.jpg	bilik darjah	297.-1520	bilikdarjah.m4a	murid	1223.-540	murid.m4a	guru	682.-852	guru.m4a	papan hitam	1003.-1303	papanhitam.m4a									
ms-MY	15	2	image_15_2.jpg	bilik darjah	1098.-1508	bilikdarjah.m4a	meja	1280.-567	meja.m4a	kerusi	751.-640	kerusi.m4a	buku	363.-1162	buku.m4a									
ms-MY	15	3	image_15_3.jpg	makan tengah hari	1118.-1373	makantengahhari.m4a	pinggan	839.-522	pinggan.m4a	nasi	458.-787	nasi.m4a	sudu	1093.-986	sudu.m4a	cawan	532.-1187	cawan.m4a						
ms-MY	15	4	image_15_4.jpg	pesta	694.-1427	pesta.m4a	kek	1141.-568	kek.m4a	hadiah	381.-585	hadiah.m4a	topi pesta	310.-1043	topipesta.m4a	belon	751.-972	belon.m4a						
ms-MY	16	1	image_16_1.jpg	kenderaan	311.-1513	kenderaan.m4a	kapal terbang	531.-1250	kapalterbang.m4a	helikopter	425.-729	helikopter.m4a	trak	1318.-1317	trak.m4a	basikal	1285.-516	basikal.m4a						
ms-MY	16	2	image_16_2.jpg	kenderaan	311.-1513	kenderaan.m4a	bas	1280.-514	bas.m4a	kereta	267.-855	kereta.m4a	motosikal	1230.-993	motosikal.m4a	kereta api	639.-1297	keretaapi.m4a						
ms-MY	16	3	image_16_3.jpg	kereta	297.-1427	kereta.m4a	cermin	1184.-1084	cermin.m4a	tayar	601.-410	tayar.m4a	pintu	1224.-410	pintu.m4a	lampu hadapan	381.-926	lampuhadapan.m4a						
ms-MY	16	4	image_16_4.jpg	kapal terbang	319.-1488	kapalterbang.m4a	enjin	1280.-934	enjin.m4a	sayap	1083.-593	sayap.m4a	kokpit	281.-999	kokpit.m4a	juruterbang	1004.-1263	juruterbang.m4a						
ms-MY	17	1	image_17_1.jpg	bentuk	1137.-1516	bentuk.m4a	bulatan	758.-1242	bulatan.m4a	segi tiga	1194.-899	segitiga.m4a	hati	883.-1072	hati.m4a	segi empat	612.-627	segiempat.m4a						
ms-MY	17	2	image_17_2.jpg	bentuk	721.-1539	bentuk.m4a	berlian	1267.-1163	berlian.m4a	bintang	853.-452	bintang.m4a	bujur	826.-899	bujur.m4a	segi empat tepat	367.-1116	segiempattepat.m4a						
ms-MY	17	3	image_17_3.jpg	kucing	708.-1508	kucing.m4a	besar	882.-860	besar.m4a	kecil	1155.-494	kecil.m4a	belang	322.-1245	belang.m4a	tompok	361.-567	tompok.m4a						
ms-MY	17	4	image_17_4.jpg	bertentangan	700.-1533	bertentangan.m4a	tinggi	1316.-952	tinggi.m4a	pendek	1313.-482	pendek.m4a	berat	267.-1137	berat.m4a	ringan	1215.-1311	ringan.m4a	sama	440.-831	sama.m4a	lain	726.-482	lain.m4a
ms-MY	18	1	image_18_1.jpg	nombor	704.-1519	nombor.m4a	satu	1035.-466	satu.m4a	dua	303.-970	dua.m4a	tiga	502.-466	tiga.m4a	empat	781.-969	empat.m4a	lima	1282.-972	lima.m4a			
ms-MY	18	2	image_18_2.jpg	nombor	704.-1519	nombor.m4a	enam	1282.-972	enam.m4a	tujuh	303.-970	tujuh.m4a	lapan	781.-969	lapan.m4a	sembilan	1035.-466	sembilan.m4a	sepuluh	502.-466	sepuluh.m4a			
ms-MY	18	3	image_18_3.jpg	perlumbaan	280.-1520	perlumbaan.m4a	pertama	1335.-881	pertama.m4a	kedua	748.-1165	kedua.m4a	ketiga	860.-481	ketiga.m4a	keempat	249.-1203	keempat.m4a						
ms-MY	18	4	image_18_4.jpg	haiwan	280.-1520	haiwan.m4a	ikan	1358.-1312	ikan.m4a	ular	764.-1259	ular.m4a	flamingo	905.-496	flamingo.m4a	itik	1352.-414	itik.m4a	anak kucing	182.-957	anakkucing.m4a	zirafah	573.-750	zirafah.m4a
ms-MY	19	1	image_19_1.jpg	pakaian	280.-1520	pakaian.m4a	seluar panjang	519.-906	seluarpanjang.m4a	seluar pendek	1022.-1165	seluarpendek.m4a	skirt	1120.-420	skirt.m4a	gaun	252.-620	gaun.m4a						
ms-MY	19	2	image_19_2.jpg	pakaian	280.-1520	pakaian.m4a	topi	774.-734	topi.m4a	kasut	1351.-410	kasut.m4a	baju	205.-1116	baju.m4a	jaket	1342.-1050	jaket.m4a						
ms-MY	19	3	image_19_3.jpg	cuaca hujan	280.-1520	cuacahujan.m4a	but hujan	400.-517	buthujan.m4a	baju hujan	712.-851	bajuhujan.m4a	payung	791.-1170	payung.m4a									
ms-MY	19	4	image_19_4.jpg	membasuh	280.-1520	membasuh.m4a	mesin basuh	1217.-776	mesinbasuh.m4a	bakul	273.-594	bakul.m4a	pakaian	436.-1026	pakaian.m4a									
ms-MY	20	1	image_20_1.jpg	perasaan	280.-1520	perasaan.m4a	gembira	223.-1010	gembira.m4a	sedih	219.-520	sedih.m4a	marah	1304.-1294	marah.m4a	terkejut	1321.-829	terkejut.m4a						
ms-MY	20	2	image_20_2.jpg	perasaan	280.-1520	perasaan.m4a	takut	219.-520	takut.m4a	sedih	1321.-829	sedih.m4a	teruja	223.-1010	teruja.m4a	mengantuk	1304.-1294	mengantuk.m4a						
ms-MY	20	3	image_20_3.jpg	deria	280.-1520	deria.m4a	lihat	1098.-1245	lihat.m4a	dengar	1327.-850	dengar.m4a	bau	1270.-577	bau.m4a	rasa	301.-1133	rasa.m4a	sentuh	296.-698	sentuh.m4a			
#ms-MY	20	4	image_20_4.jpg	taste	280.-1520	taste.m4a	hot	1333.-1350	hot.m4a	cool	284.-1307	cool.m4a	sweet	243.-839	sweet.m4a	sour	1210.-926	sour.m4a						
ms-MY	21	1	image_21_1.jpg	makanan	280.-1520	makanan.m4a	lada merah	1216.-777	ladamerah.m4a	aiskrim	332.-1244	aiskrim.m4a	lemon	339.-844	lemon.m4a	coklat	1217.-1249	coklat.m4a						
ms-MY	21	2	image_21_2.jpg	sayur-sayuran	280.-1520	sayursayuran.m4a	lobak merah	1296.-1025	lobakmerah.m4a	terung	405.-592	terung.m4a	lada	247.-1197	lada.m4a	brokoli	962.-1295	brokoli.m4a						
ms-MY	21	3	image_21_3.jpg	buah tropika	280.-1520	buahtropika.m4a	delima	520.-1263	delima.m4a	betik	1325.-1082	betik.m4a	nangka	1176.-475	nangka.m4a	jambu batu	403.-424	jambubatu.m4a						
ms-MY	21	4	image_21_4.jpg	permainan	280.-1520	permainan.m4a	robot	583.-529	robot.m4a	kereta	383.-997	kereta.m4a	guli	1249.-1302	guli.m4a	blok	1256.-603	blok.m4a						
ms-MY	22	1	image_22_1.jpg	muka	280.-1520	muka.m4a	mata	258.-1037	mata.m4a	hidung	1239.-906	hidung.m4a	mulut	298.-699	mulut.m4a									
ms-MY	22	2	image_22_2.jpg	muka	280.-1520	muka.m4a	dahi	1323.-1343	dahi.m4a	pipi	457.-1027	pipi.m4a	dagu	1311.-710	dagu.m4a									
ms-MY	22	3	image_22_3.jpg	badan	280.-1520	badan.m4a	kepala	942.-1307	kepala.m4a	bahu	1055.-1064	bahu.m4a	lutut	1139.-803	lutut.m4a	kaki	1157.-540	kaki.m4a						
ms-MY	22	4	image_22_4.jpg	tangan	280.-1520	tangan.m4a	tapak tangan	1015.-538	tapaktangan.m4a	jari	365.-975	jari.m4a	kuku	1211.-1029	kuku.m4a	pergelangan tangan	1127.-1241	pergelangantangan.m4a						
ms-MY	23	1	image_23_1.jpg	taman permainan	280.-1520	tamanpermainan.m4a	gelongsor	1096.-968	gelongsor.m4a	buaian	1311.-518	buaian.m4a	jongkang-jongket	307.-513	jongkangjongket.m4a									
ms-MY	23	2	image_23_2.jpg	lapangan terbang	280.-1520	lapanganterbang.m4a	kapal terbang	691.-559	kapalterbang.m4a	landasan	481.-1222	landasan.m4a	menara kawalan	1058.-1162	menarakawalan.m4a									
ms-MY	23	3	image_23_3.jpg	kampung	280.-1520	kampung.m4a	rumah	1264.-827	rumah.m4a	jalan	884.-571	jalan.m4a	pokok	262.-1205	pokok.m4a									
ms-MY	23	4	image_23_4.jpg	ladang	280.-1520	ladang.m4a	petani	1053.-1178	petani.m4a	lembu	242.-838	lembu.m4a	susu	1381.-823	susu.m4a	baldi	416.-420	baldi.m4a						
ms-MY	24	1	image_24_1.jpg	kedudukan	280.-1520	kedudukan.m4a	di atas	1105.-513	diatas.m4a	di bawah	412.-1288	dibawah.m4a	di dalam	409.-405	didalam.m4a	di belakang	1103.-1029	dibelakang.m4a						
ms-MY	24	2	image_24_2.jpg	gelongsor	280.-1520	gelongsor.m4a	tangga	1325.-620	tangga.m4a	cerun	335.-896	cerun.m4a	naik	955.-1073	naik.m4a	turun	223.-494	turun.m4a						
ms-MY	24	3	image_24_3.jpg	surat	718.-1324	surat.m4a	sampul surat	358.-1038	sampulsurat.m4a	setem	1267.-1008	setem.m4a	alamat	884.-686	alamat.m4a									
ms-MY	24	4	image_24_4.jpg	mel	280.-1520	mel.m4a	surat	1023.-1312	surat.m4a	poskad	544.-986	poskad.m4a	bungkusan	251.-592	bungkusan.m4a									
ms-MY	25	1	image_25_1.jpg	dunia	280.-1520	dunia.m4a	lautan	1352.-731	lautan.m4a	gunung	396.-801	gunung.m4a	gurun	357.-1071	gurun.m4a	tasik	1244.-1369	tasik.m4a						
ms-MY	25	2	image_25_2.jpg	bertentangan	280.-1520	bertentangan.m4a	sejuk	729.-1290	sejuk.m4a	panas	232.-1292	panas.m4a	basah	1288.-1277	basah.m4a	kering	1290.-454	kering.m4a	terang	721.-718	terang.m4a	gelap	341.-479	gelap.m4a
ms-MY	25	3	image_25_3.jpg	pasar	280.-1520	pasar.m4a	kacang	1338.-1129	kacang.m4a	lori	927.-567	lori.m4a	ikan	309.-486	ikan.m4a	bakul	274.-996	bakul.m4a	orang	1347.-737	orang.m4a			
ms-MY	25	4	image_25_4.jpg	bandar	280.-1520	bandar.m4a	hospital	535.-1317	hospital.m4a	bank	1201.-1289	bank.m4a	hotel	535.-520	hotel.m4a	polis	1208.-513	polis.m4a						
ms-MY	26	1	image_26_1.jpg	deria	280.-1520	deria.m4a	mata	1213.-990	mata.m4a	lihat	1224.-1438	lihat.m4a	hidung	332.-749	hidung.m4a	bau	264.-1218	bau.m4a	lidah	868.-539	lidah.m4a	rasa	1295.-833	rasa.m4a
ms-MY	26	2	image_26_2.jpg	lautan	280.-1520	lautan.m4a	penyu	1230.-809	penyu.m4a	cengkerang	1299.-1239	cengkerang.m4a	pari	302.-1028	pari.m4a	sayap	839.-1344	sayap.m4a	sotong	284.-468	sotong.m4a	lapan tangan	1038.-620	lapantangan.m4a
ms-MY	26	3	image_26_3.jpg	rambut	280.-1520	rambut.m4a	lurus	1337.-542	lurus.m4a	kerinting	856.-537	kerinting.m4a	panjang	487.-714	panjang.m4a	pendek	176.-1143	pendek.m4a	hitam	597.-1297	hitam.m4a	perang	1338.-1350	perang.m4a
#ms-MY	26	4	image_26_4.jpg	foods	280.-1520	foods.m4a	lemon	1175.-616	lemon.m4a	watermelon	667.-603	watermelon.m4a	sour	1349.-1382	sour.m4a	sweet	991.-893	sweet.m4a	small	264.-819	small.m4a	big	532.-1196	big.m4a
