#LanguageTag	#Level	#Worksheet	#Problem	#Word/Sentence	#Card	#ActiveCard	#Sound	#Image	#HintWord/Sentence	#CanDuplicate					
ms-MY	2	2	4	aku	a,ku	a,ku	aku.m4a		TRUE	TRUE
ms-MY	2	2	5	ala	a,la	a,la	ala.m4a		TRUE	TRUE
ms-MY	3	1	1	kereta	ke,re,ta	ke,re,ta	kereta.m4a	kereta.png	TRUE	TRUE
ms-MY	3	1	2	sepatu	se,pa,tu	se,pa,tu	sepatu.m4a	sepatu.png	TRUE	TRUE
ms-MY	3	1	3	tomato	to,ma,to	to,ma,to	tomato.m4a	tomato.png	TRUE	TRUE
ms-MY	3	1	4	perigi	pe,ri,gi	pe,ri,gi	perigi.m4a	perigi.png	TRUE	TRUE
ms-MY	3	1	5	kamera	ka,me,ra	ka,me,ra	kamera.m4a	kamera.png	TRUE	TRUE
ms-MY	3	2	1	kelapa	ke,la,pa	ke,la,pa	kelapa.m4a	kelapa.png	TRUE	TRUE
ms-MY	3	2	2	budaya	bu,da,ya	bu,da,ya	budaya.m4a		TRUE	TRUE
ms-MY	3	2	3	lelaki	le,la,ki	le,la,ki	lelaki.m4a	lelaki.png	TRUE	TRUE
ms-MY	3	2	4	kerusi	ke,ru,si	ke,ru,si	kerusi.m4a	kerusi.png	TRUE	TRUE
ms-MY	3	2	5	petani	pe,ta,ni	pe,ta,ni	petani.m4a	petani.png	TRUE	TRUE
ms-MY	4	1	1	jus	j,u,s	j,u,s	jus.m4a	jus.png	TRUE	TRUE
ms-MY	4	1	2	sos	s,o,s	s,o,s	sos.m4a	sos.png	TRUE	TRUE
ms-MY	4	1	3	zip	z,i,p	z,i,p	zip.m4a	zip.png	TRUE	TRUE
ms-MY	4	1	4	sup	s,u,p	s,u,p	sup.m4a	sup.png	TRUE	TRUE
ms-MY	4	1	5	kad	k,a,d	k,a,d	kad.m4a	kad.png	TRUE	TRUE
ms-MY	4	2	1	jet	j,e,t	j,e,t	jet.m4a	jet.png	TRUE	TRUE
ms-MY	4	2	2	jem	j,e,m	j,e,m	jem.m4a	jem.png	TRUE	TRUE
ms-MY	4	2	3	bos	b,o,s	b,o,s	bos.m4a	bos.png	TRUE	TRUE
ms-MY	4	2	4	lif	l,i,f	l,i,f	lif.m4a	lif.png	TRUE	TRUE
ms-MY	4	2	5	rim	r,i,m	r,i,m	rim.m4a		TRUE	TRUE
ms-MY	5	1	1	otak	o,tak	o,tak	otak.m4a	otak.png	TRUE	TRUE
ms-MY	5	1	2	ubat	u,bat	u,bat	ubat.m4a	ubat.png	TRUE	TRUE
ms-MY	5	1	3	awan	a,wan	a,wan	awan.m4a	awan.png	TRUE	TRUE
ms-MY	5	1	4	enam	e,nam	e,nam	enam.m4a	enam.png	TRUE	TRUE
ms-MY	5	1	5	itik	i,tik	i,tik	itik.m4a	itik.png	TRUE	TRUE
ms-MY	5	2	1	ikan	i,kan	i,kan	ikan.m4a	ikan.png	TRUE	TRUE
ms-MY	5	2	2	ekor	e,kor	e,kor	ekor.m4a	ekor.png	TRUE	TRUE
ms-MY	5	2	3	akar	a,kar	a,kar	akar.m4a	akar.png	TRUE	TRUE
ms-MY	5	2	4	asap	a,sap	a,sap	asap.m4a	asap.png	TRUE	TRUE
ms-MY	5	2	5	ular	u,lar	u,lar	ular.m4a	ular.png	TRUE	TRUE
ms-MY	6	1	1	nanas	na,nas	na,nas	nanas.m4a	nanas.png	TRUE	TRUE
ms-MY	6	1	2	tiram	ti,ram	ti,ram	tiram.m4a	tiram.png	TRUE	TRUE
ms-MY	6	1	3	kakak	ka,kak	ka,kak	kakak.m4a	kakak.png	TRUE	TRUE
ms-MY	6	1	4	cerek	ce,rek	ce,rek	cerek.m4a	cerek.png	TRUE	TRUE
ms-MY	6	1	5	roket	ro,ket	ro,ket	roket.m4a	roket.png	TRUE	TRUE
ms-MY	6	2	1	raket	ra,ket	ra,ket	raket.m4a	raket.png	TRUE	TRUE
ms-MY	6	2	2	pikat	pi,kat	pi,kat	pikat.m4a		TRUE	TRUE
ms-MY	6	2	3	rakit	ra,kit	ra,kit	rakit.m4a	rakit.png	TRUE	TRUE
ms-MY	6	2	4	sekat	se,kat	se,kat	sekat.m4a		TRUE	TRUE
ms-MY	6	2	5	bakat	ba,kat	ba,kat	bakat.m4a		TRUE	TRUE
ms-MY	7	1	1	panda	pan,da	pan,da	panda.m4a	panda.png	TRUE	TRUE
ms-MY	7	1	2	jambu	jam,bu	jam,bu	jambu.m4a	jambu.png	TRUE	TRUE
ms-MY	7	1	3	gincu	gin,cu	gin,cu	gincu.m4a	gincu.png	TRUE	TRUE
ms-MY	7	1	4	teksi	tek,si	tek,si	teksi.m4a	teksi.png	TRUE	TRUE
ms-MY	7	1	5	bomba	bom,ba	bom,ba	bomba.m4a	bomba.png	TRUE	TRUE
ms-MY	7	2	1	manja	man,ja	man,ja	manja.m4a		TRUE	TRUE
ms-MY	7	2	2	pintu	pin,tu	pin,tu	pintu.m4a	pintu.png	TRUE	TRUE
ms-MY	7	2	3	tanda	tan,da	tan,da	tanda.m4a		TRUE	TRUE
ms-MY	7	2	4	janji	jan,ji	jan,ji	janji.m4a		TRUE	TRUE
ms-MY	7	2	5	senja	sen,ja	sen,ja	senja.m4a	senja.png	TRUE	TRUE
ms-MY	8	1	1	coklat	cok,lat	cok,lat	coklat.m4a	coklat.png	TRUE	TRUE
ms-MY	8	1	2	kaktus	kak,tus	kak,tus	kaktus.m4a	kaktus.png	TRUE	TRUE
ms-MY	8	1	3	bantal	ban,tal	ban,tal	bantal.m4a	bantal.png	TRUE	TRUE
ms-MY	8	1	4	sampan	sam,pan	sam,pan	sampan.m4a	sampan.png	TRUE	TRUE
ms-MY	8	1	5	pensel	pen,sel	pen,sel	pensel.m4a	pensel.png	TRUE	TRUE
ms-MY	8	2	1	lampin	lam,pin	lam,pin	lampin.m4a	lampin.png	TRUE	TRUE
ms-MY	8	2	2	jamban	jam,ban	jam,ban	jamban.m4a	jamban.png	TRUE	TRUE
ms-MY	8	2	3	tempat	tem,pat	tem,pat	tempat.m4a		TRUE	TRUE
ms-MY	8	2	4	tandas	tan,das	tan,das	tandas.m4a	tandas.png	TRUE	TRUE
ms-MY	8	2	5	sempat	sem,pat	sem,pat	sempat.m4a		TRUE	TRUE
ms-MY	9	1	1	kelawar	ke,la,war	ke,la,war	kelawar.m4a	kelawar.png	TRUE	TRUE
ms-MY	9	1	2	karipap	ka,ri,pap	ka,ri,pap	karipap.m4a	karipap.png	TRUE	TRUE
ms-MY	9	1	3	mekanik	me,ka,nik	me,ka,nik	mekanik.m4a	mekanik.png	TRUE	TRUE
ms-MY	9	1	4	sekolah	se,ko,lah	se,ko,lah	sekolah.m4a	sekolah.png	TRUE	TRUE
ms-MY	9	1	5	telefon	te,le,fon	te,le,fon	telefon.m4a	telefon.png	TRUE	TRUE
ms-MY	9	2	1	ketuhar	ke,tu,har	ke,tu,har	ketuhar.m4a	ketuhar.png	TRUE	TRUE
ms-MY	9	2	2	semalam	se,ma,lam	se,ma,lam	semalam.m4a		TRUE	TRUE
ms-MY	9	2	3	senaman	se,na,man	se,na,man	senaman.m4a	senaman.png	TRUE	TRUE
ms-MY	9	2	4	keramat	ke,ra,mat	ke,ra,mat	keramat.m4a		TRUE	TRUE
ms-MY	9	2	5	ketupat	ke,tu,pat	ke,tu,pat	ketupat.m4a	ketupat.png	TRUE	TRUE
ms-MY	10	1	1	jentolak	jen,to,lak	jen,to,lak	jentolak.m4a	jentolak.png	TRUE	TRUE
ms-MY	10	1	2	hospital	hos,pi,tal	hos,pi,tal	hospital.m4a	hospital.png	TRUE	TRUE
ms-MY	10	1	3	tempayan	tem,pa,yan	tem,pa,yan	tempayan.m4a	tempayan.png	TRUE	TRUE
ms-MY	10	1	4	pembaris	pem,ba,ris	pem,ba,ris	pembaris.m4a	pembaris.png	TRUE	TRUE
ms-MY	10	1	5	komputer	kom,pu,ter	kom,pu,ter	komputer.m4a	komputer.png	TRUE	TRUE
ms-MY	10	2	1	pendapat	pen,da,pat	pen,da,pat	pendapat.m4a		TRUE	TRUE
ms-MY	10	2	2	hantaran	han,ta,ran	han,ta,ran	hantaran.m4a		TRUE	TRUE
ms-MY	10	2	3	sambutan	sam,bu,tan	sam,bu,tan	sambutan.m4a		TRUE	TRUE
ms-MY	10	2	4	rambutan	ram,bu,tan	ram,bu,tan	rambutan.m4a	rambutan.png	TRUE	TRUE
ms-MY	10	2	5	sempadan	sem,pa,dan	sem,pa,dan	sempadan.m4a		TRUE	TRUE
ms-MY	11	1	1	gong	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	g,o,n,g	gong.m4a	gong.png	TRUE	TRUE
ms-MY	11	1	2	wang	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	w,a,n,g	wang.m4a	wang.png	TRUE	TRUE
ms-MY	11	1	3	tong	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	t,o,n,g	tong.m4a	tong.png	TRUE	TRUE
ms-MY	11	1	4	bank	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	b,a,n,k	bank.m4a	bank.png	TRUE	TRUE
ms-MY	11	1	5	zink	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	z,i,n,k	zink.m4a		TRUE	TRUE
ms-MY	11	2	1	bung	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	b,u,n,g	bung.m4a		TRUE	TRUE
ms-MY	11	2	2	yang	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	y,a,n,g	yang.m4a		TRUE	TRUE
ms-MY	11	2	3	kung	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	k,u,n,g	kung.m4a		TRUE	TRUE
ms-MY	11	2	4	geng	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	g,e,n,g	geng.m4a		TRUE	TRUE
ms-MY	11	2	5	sang	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	s,a,n,g	sang.m4a		TRUE	TRUE
ms-MY	12	1	1	helang	he,gu,lo,te,pi,bu,ku,su,to,ki/lang	he,lang	helang.m4a	helang.png	TRUE	TRUE
ms-MY	12	1	2	gunung	he,gu,lo,te,pi,bu,ku,su,to,ki/nung	gu,nung	gunung.m4a	gunung.png	TRUE	TRUE
ms-MY	12	1	3	loceng	he,gu,lo,te,pi,bu,ku,su,to,ki/ceng	lo,ceng	loceng.m4a	loceng.png	TRUE	TRUE
ms-MY	12	1	4	terung	he,gu,lo,te,pi,bu,ku,su,to,ki/rung	te,rung	terung.m4a	terung.png	TRUE	TRUE
ms-MY	12	1	5	pinang	he,gu,lo,te,pi,bu,ku,su,to,ki/nang	pi,nang	pinang.m4a	pinang.png	TRUE	TRUE
ms-MY	12	2	1	burung	he,gu,lo,te,pi,bu,ku,su,to,ki/rung	bu,rung	burung.m4a	burung.png	TRUE	TRUE
ms-MY	12	2	2	kurung	he,gu,lo,te,pi,bu,ku,su,to,ki/rung	ku,rung	kurung.m4a		TRUE	TRUE
ms-MY	12	2	3	sulung	he,gu,lo,te,pi,bu,ku,su,to,ki/lung	su,lung	sulung.m4a		TRUE	TRUE
ms-MY	12	2	4	topeng	he,gu,lo,te,pi,bu,ku,su,to,ki/peng	to,peng	topeng.m4a	topeng.png	TRUE	TRUE
ms-MY	12	2	5	kilang	he,gu,lo,te,pi,bu,ku,su,to,ki/lang	ki,lang	kilang.m4a	kilang.png	TRUE	TRUE
ms-MY	13	1	1	arang	a,e,i,o,u,rang	a,rang	arang.m4a	arang.png	TRUE	TRUE
ms-MY	13	1	2	udang	a,e,i,o,u,dang	u,dang	udang.m4a	udang.png	TRUE	TRUE
ms-MY	13	1	3	abang	a,e,i,o,u,bang	a,bang	abang.m4a	abang.png	TRUE	TRUE
ms-MY	13	1	4	orang	a,e,i,o,u,rang	o,rang	orang.m4a	orang.png	TRUE	TRUE
ms-MY	13	1	5	usung	a,e,i,o,u,sung	u,sung	usung.m4a		TRUE	TRUE
ms-MY	13	2	1	ulang	a,e,i,o,u,lang	u,lang	ulang.m4a		TRUE	TRUE
ms-MY	13	2	2	usang	a,e,i,o,u,sang	u,sang	usang.m4a		TRUE	TRUE
ms-MY	13	2	3	awang	a,e,i,o,u,wang	a,wang	awang.m4a		TRUE	TRUE
ms-MY	13	2	4	apung	a,e,i,o,u,pung	a,pung	apung.m4a		TRUE	TRUE
ms-MY	13	2	5	inang	a,e,i,o,u,nang	i,nang	inang.m4a		TRUE	TRUE
ms-MY	14	1	1	kentang	ken,jan,lem,gun,gen/tang,tung,bing,ting,dang	ken,tung,tang	kentang.m4a	kentang.png	TRUE	TRUE
ms-MY	14	1	2	jantung	ken,jan,lem,gun,gen/tang,tung,bing,ting,dang	jan,tang,tung	jantung.m4a	jantung.png	TRUE	TRUE
ms-MY	14	1	3	lembing	ken,jan,lem,gun,gen/tang,tung,bing,ting,dang	lem,bing,dang	lembing.m4a	lembing.png	TRUE	TRUE
ms-MY	14	1	4	gunting	ken,jan,lem,gun,gen/tang,tung,bing,ting,dang	gun,dang,ting	gunting.m4a	gunting.png	TRUE	TRUE
ms-MY	14	1	5	gendang	ken,jan,lem,gun,gen/tang,tung,bing,ting,dang	gen,bing,dang	gendang.m4a	gendang.png	TRUE	TRUE
ms-MY	14	2	1	bendang	ben,ren,ban,kan,kam/dang,ding,dung,pung,tung	ben,ding,dang	bendang.m4a	bendang.png	TRUE	TRUE
ms-MY	14	2	2	rendang	ben,ren,ban,kan,kam/dang,ding,dung,pung,tung	ren,dang,tung	rendang.m4a	rendang.png	TRUE	TRUE
ms-MY	14	2	3	banding	ben,ren,ban,kan,kam/dang,ding,dung,pung,tung	ban,dung,ding	banding.m4a		TRUE	TRUE
ms-MY	14	2	4	kandung	ben,ren,ban,kan,kam/dang,ding,dung,pung,tung	kan,pung,dung	kandung.m4a		TRUE	TRUE
ms-MY	14	2	5	kampung	ben,ren,ban,kan,kam/dang,ding,dung,pung,tung	kam,dang,pung	kampung.m4a	kampung.png	TRUE	TRUE
ms-MY	15	1	1	mangga	mang,rang,bang,sing,bing/ga,ka,ku,ki	mang,ka,ga	mangga.m4a	mangga.png	TRUE	TRUE
ms-MY	15	1	2	rangka	mang,rang,bang,sing,bing/ga,ka,ku,ki	rang,ga,ka	rangka.m4a	rangka.png	TRUE	TRUE
ms-MY	15	1	3	bangku	mang,rang,bang,sing,bing/ga,ka,ku,ki	bang,ki,ku	bangku.m4a	bangku.png	TRUE	TRUE
ms-MY	15	1	4	singki	mang,rang,bang,sing,bing/ga,ka,ku,ki	sing,ga,ki	singki.m4a	singki.png	TRUE	TRUE
ms-MY	15	1	5	bingka	mang,rang,bang,sing,bing/ga,ka,ku,ki	bing,ku,ka	bingka.m4a		TRUE	TRUE
ms-MY	15	2	1	nangka	nang,tang,sang,kong,bang/ka,ga,si	nang,ga,ka	nangka.m4a	nangka.png	TRUE	TRUE
ms-MY	15	2	2	tangga	nang,tang,sang,kong,bang/ka,ga,si	tang,ka,ga	tangga.m4a	tangga.png	TRUE	TRUE
ms-MY	15	2	3	sangka	nang,tang,sang,kong,bang/ka,ga,si	sang,si,ka	sangka.m4a		TRUE	TRUE
ms-MY	15	2	4	kongsi	nang,tang,sang,kong,bang/ka,ga,si	kong,ga,si	kongsi.m4a		TRUE	TRUE
ms-MY	15	2	5	bangga	nang,tang,sang,kong,bang/ka,ga,si	bang,ka,ga	bangga.m4a		TRUE	TRUE
ms-MY	16	1	1	sangkar	sang,song,cang,lang,ting/kar,kok,kul,sir,kap	sang,kok,kar	sangkar.m4a	sangkar.png	TRUE	TRUE
ms-MY	16	1	2	songkok	sang,song,cang,lang,ting/kar,kok,kul,sir,kap	song,kap,kok	songkok.m4a	songkok.png	TRUE	TRUE
ms-MY	16	1	3	cangkul	sang,song,cang,lang,ting/kar,kok,kul,sir,kap	cang,kar,kul	cangkul.m4a	cangkul.png	TRUE	TRUE
ms-MY	16	1	4	langsir	sang,song,cang,lang,ting/kar,kok,kul,sir,kap	lang,kul,sir	langsir.m4a	langsir.png	TRUE	TRUE
ms-MY	16	1	5	tingkap	sang,song,cang,lang,ting/kar,kok,kul,sir,kap	ting,kar,kap	tingkap.m4a	tingkap.png	TRUE	TRUE
ms-MY	16	2	1	bengkok	beng,lang,tong,tang,ring/kok,sat,kat,kap,kas	beng,kap,kok	bengkok.m4a		TRUE	TRUE
ms-MY	16	2	2	langsat	beng,lang,tong,tang,ring/kok,sat,kat,kap,kas	lang,kas,sat	langsat.m4a	langsat.png	TRUE	TRUE
ms-MY	16	2	3	tongkat	beng,lang,tong,tang,ring/kok,sat,kat,kap,kas	tong,kap,kat	tongkat.m4a	tongkat.png	TRUE	TRUE
ms-MY	16	2	4	tangkap	beng,lang,tong,tang,ring/kok,sat,kat,kap,kas	tang,kat,kap	tangkap.m4a		TRUE	TRUE
ms-MY	16	2	5	ringkas	beng,lang,tong,tang,ring/kok,sat,kat,kap,kas	ring,sat,kas	ringkas.m4a		TRUE	TRUE
ms-MY	17	1	1	kangkung	kang,long,tang,tong,pang/kung,kang,lung,gang,gung	kang,gung,kung,lung	kangkung.m4a	kangkung.png	TRUE	TRUE
ms-MY	17	1	2	longkang	kang,long,tang,tong,pang/kung,kang,lung,gang,gung	long,gang,kang,gung	longkang.m4a	longkang.png	TRUE	TRUE
ms-MY	17	1	3	tanglung	kang,long,tang,tong,pang/kung,kang,lung,gang,gung	tang,kang,lung,gung	tanglung.m4a	tanglung.png	TRUE	TRUE
ms-MY	17	1	4	tongkang	kang,long,tang,tong,pang/kung,kang,lung,gang,gung	tong,lung,kang,gung	tongkang.m4a	tongkang.png	TRUE	TRUE
ms-MY	17	1	5	panggang	kang,long,tang,tong,pang/kung,kang,lung,gang,gung	pang,kung,gang,gung	panggang.m4a	panggang.png	TRUE	TRUE
ms-MY	17	2	1	panggung	pang,ping,lang,pung/gung,gang,sung,pong	pang,pong,gung,gang	panggung.m4a	panggung.png	TRUE	TRUE
ms-MY	17	2	2	pinggang	pang,ping,lang,pung/gung,gang,sung,pong	ping,gung,gang,pong	pinggang.m4a	pinggang.png	TRUE	TRUE
ms-MY	17	2	3	langsung	pang,ping,lang,pung/gung,gang,sung,pong	lang,pong,sung,gang	langsung.m4a		TRUE	TRUE
ms-MY	17	2	4	punggung	pang,ping,lang,pung/gung,gang,sung,pong	pung,sung,gung,gang	punggung.m4a		TRUE	TRUE
ms-MY	17	2	5	pingpong	pang,ping,lang,pung/gung,gang,sung,pong	ping,gang,pong,gung	pingpong.m4a	pingpong.png	TRUE	TRUE
ms-MY	18	1	1	pepatung	pe,be,le,te,bi/pa,la,ro,na/tung,lang,yang,wong,tang	pe,la,pa,tung,lang	pepatung.m4a	pepatung.png	TRUE	TRUE
ms-MY	18	1	2	belalang	pe,be,le,te,bi/pa,la,ro,na/tung,lang,yang,wong,tang	be,ro,la,lang,yang	belalang.m4a	belalang.png	TRUE	TRUE
ms-MY	18	1	3	lelayang	pe,be,le,te,bi/pa,la,ro,na/tung,lang,yang,wong,tang	le,pa,la,yang,wong	lelayang.m4a	lelayang.png	TRUE	TRUE
ms-MY	18	1	4	terowong	pe,be,le,te,bi/pa,la,ro,na/tung,lang,yang,wong,tang	te,na,ro,wong,lang	terowong.m4a	terowong.png	TRUE	TRUE
ms-MY	18	1	5	binatang	pe,be,le,te,bi/pa,la,ro,na/tung,lang,yang,wong,tang	bi,pa,na,tang,yang	binatang.m4a	binatang.png	TRUE	TRUE
ms-MY	18	2	1	belakang	be,ke,se/la,ri,ru/kang,ting,lang,bang,ling	be,ri,la,kang,lang	belakang.m4a		TRUE	TRUE
ms-MY	18	2	2	keriting	be,ke,se/la,ri,ru/kang,ting,lang,bang,ling	ke,la,ri,ting,lang	keriting.m4a	keriting.png	TRUE	TRUE
ms-MY	18	2	3	kelalang	be,ke,se/la,ri,ru/kang,ting,lang,bang,ling	ke,ru,la,lang,bang	kelalang.m4a	kelalang.png	TRUE	TRUE
ms-MY	18	2	4	seruling	be,ke,se/la,ri,ru/kang,ting,lang,bang,ling	se,la,ru,ling,ting	seruling.m4a	seruling.png	TRUE	TRUE
ms-MY	18	2	5	kelabang	be,ke,se/la,ri,ru/kang,ting,lang,bang,ling	ke,ri,la,bang,kang	kelabang.m4a	kelabang.png	TRUE	TRUE
ms-MY	19	1	1	belimbing	be,pe,se,me/lim,lam,len,lan,nen/bing,pung,dang,cong	be,lan,lim,bing,dang	belimbing.m4a	belimbing.png	TRUE	TRUE
ms-MY	19	1	2	pelampung	be,pe,se,me/lim,lam,len,lan,nen/bing,pung,dang,cong	pe,len,lam,pung,bing	pelampung.m4a	pelampung.png	TRUE	TRUE
ms-MY	19	1	3	selendang	be,pe,se,me/lim,lam,len,lan,nen/bing,pung,dang,cong	se,lim,len,dang,cong	selendang.m4a	selendang.png	TRUE	TRUE
ms-MY	19	1	4	pelancong	be,pe,se,me/lim,lam,len,lan,nen/bing,pung,dang,cong	pe,lam,lan,cong,dang	pelancong.m4a	pelancong.png	TRUE	TRUE
ms-MY	19	1	5	menendang	be,pe,se,me/lim,lam,len,lan,nen/bing,pung,dang,cong	me,lan,nen,dang,pung	menendang.m4a	menendang.png	TRUE	TRUE
ms-MY	19	2	1	penumpang	pe,se,ge,ke/num,run,gen,don,nim/pang,ding,dang,dong,bang	pe,run,num,pang,ding	penumpang.m4a	penumpang.png	TRUE	TRUE
ms-MY	19	2	2	serunding	pe,se,ge,ke/num,run,gen,don,nim/pang,ding,dang,dong,bang	se,num,run,ding,dang	serunding.m4a	serunding.png	TRUE	TRUE
ms-MY	19	2	3	gegendang	pe,se,ge,ke/num,run,gen,don,nim/pang,ding,dang,dong,bang	ge,run,gen,dang,dong	gegendang.m4a	gegendang.png	TRUE	TRUE
ms-MY	19	2	4	kedondong	pe,se,ge,ke/num,run,gen,don,nim/pang,ding,dang,dong,bang	ke,nim,don,dong,bang	kedondong.m4a	kedondong.png	TRUE	TRUE
ms-MY	19	2	5	penimbang	pe,se,ge,ke/num,run,gen,don,nim/pang,ding,dang,dong,bang	pe,gen,nim,bang,pang	penimbang.m4a	penimbang.png	TRUE	TRUE
ms-MY	20	1	1	tempurung	tem,pem,pen/pu,bo,da,bi,ca/rung,rong,yung,lang,wang	tem,bo,pu,rung,rong	tempurung.m4a	tempurung.png	TRUE	TRUE
ms-MY	20	1	2	pemborong	tem,pem,pen/pu,bo,da,bi,ca/rung,rong,yung,lang,wang	pem,da,bo,rong,yung	pemborong.m4a	pemborong.png	TRUE	TRUE
ms-MY	20	1	3	pendayung	tem,pem,pen/pu,bo,da,bi,ca/rung,rong,yung,lang,wang	pen,bo,da,yung,wang	pendayung.m4a	pendayung.png	TRUE	TRUE
ms-MY	20	1	4	pembilang	tem,pem,pen/pu,bo,da,bi,ca/rung,rong,yung,lang,wang	pem,ca,bi,lang,rung	pembilang.m4a		TRUE	TRUE
ms-MY	20	1	5	pencawang	tem,pem,pen/pu,bo,da,bi,ca/rung,rong,yung,lang,wang	pen,bi,ca,wang,lang	pencawang.m4a	pencawang.png	TRUE	TRUE
ms-MY	20	2	1	pendukung	pen,pem/du,do,da,ja,be/kung,rong,tang,ring,tung	pen,do,du,kung,tung	pendukung.m4a		TRUE	TRUE
ms-MY	20	2	2	pendorong	pen,pem/du,do,da,ja,be/kung,rong,tang,ring,tung	pen,da,do,rong,ring	pendorong.m4a		TRUE	TRUE
ms-MY	20	2	3	pendatang	pen,pem/du,do,da,ja,be/kung,rong,tang,ring,tung	pen,be,da,tang,rong	pendatang.m4a		TRUE	TRUE
ms-MY	20	2	4	penjaring	pen,pem/du,do,da,ja,be/kung,rong,tang,ring,tung	pen,du,ja,ring,kung	penjaring.m4a		TRUE	TRUE
ms-MY	20	2	5	pembetung	pen,pem/du,do,da,ja,be/kung,rong,tang,ring,tung	pem,da,be,tung,tang	pembetung.m4a		TRUE	TRUE
ms-MY	21	1	1	cengkerik	ceng,teng,pang,bang/ke,ko,ka,sa/rik,rak,lok,lan,wan	ceng,ko,ke,rik,rak	cengkerik.m4a	cengkerik.png	TRUE	TRUE
ms-MY	21	1	2	tengkorak	ceng,teng,pang,bang/ke,ko,ka,sa/rik,rak,lok,lan,wan	teng,sa,ko,rak,lok	tengkorak.m4a	tengkorak.png	TRUE	TRUE
ms-MY	21	1	3	tengkolok	ceng,teng,pang,bang/ke,ko,ka,sa/rik,rak,lok,lan,wan	teng,ka,ko,lok,rak	tengkolok.m4a	tengkolok.png	TRUE	TRUE
