#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
ms-MY	2	2	2	4	en_uk_d3_07.m4a	Ismail mempunyai 2 kambing di ladangnya. Terdapat 6 lagi ayam daripada kambing di ladangnya. Berapa banyak ayam yang dia ada?	2	6	8	12	ayam	ayam	ayam	ayam	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	2	2	3	4	en_uk_d3_01.m4a	Fatimah berumur 5 tahun. Kakaknya Halimah berusia 2 tahun lebih tua daripada Fatimah. Berapa umur Halimah?	2	5	7	9	tahun	tahun	tahun	tahun	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	2	2	4	4	en_uk_d3_06.m4a	Perpustakaan mempunyai 5 buah meja lebih daripada pejabat sekolah. Pejabat sekolah mempunyai 2 buah meja. Berapakah bilangan meja yang ada di perpustakaan?	5	7	9	11	meja	meja	meja	meja	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	2	2	5	4	en_uk_d3_04.m4a	Amir membeli 3 buah buku lebih daripada Bakar. Bakar membeli sebuah buku. Berapakah jumlah buku yang dibeli oleh Amir?	3	4	5	6	buku	buku	buku	buku	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	2	3	1	4	en_uk_d3_01.m4a	Fatimah berumur 5 tahun. Kakaknya Halimah berusia 2 tahun lebih tua daripada Fatimah. Berapa umur Halimah?	2	5	7	9	tahun	tahun	tahun	tahun	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	2	3	2	4	en_uk_d3_03.m4a	Zainal mempunyai 4 keping setem. Farid mempunyai 5 keping setem lebih daripada Zainal. Berapakah bilangan setem yang dimiliki oleh Farid?	4	5	9	11	setem	setem	setem	setem	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	2	3	3	4	en_uk_d3_02.m4a	Razak mempunyai 2 biji guli. Aida mempunyai 3 biji guli lebih daripada Razak. Berapakah bilangan guli yang dimiliki oleh Aida?	2	3	5	8	guli	guli	guli	guli	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	2	3	4	4	en_uk_d3_05.m4a	Siti mempunyai 5 buah teka-teki lebih daripada Aminah. Aminah mempunyai 3 buah teka-teki. Berapakah bilangan teka-teki yang dimiliki oleh Siti?	6	7	8	9	teka-teki	teka-teki	teka-teki	teka-teki	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	2	3	5	4	en_uk_d3_06.m4a	Perpustakaan mempunyai 5 buah meja lebih daripada pejabat sekolah. Pejabat sekolah mempunyai 2 buah meja. Berapakah bilangan meja yang ada di perpustakaan?	5	7	9	11	meja	meja	meja	meja	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	3	1	1	2	en_uk_b1_03.m4a	4 burung duduk di cawangan. 1 terbang jauh. Berapa banyak burung yang tinggal di cawangan?	2	3	4	5	burung	burung	burung	burung	4 - 1 = <3>	2	4	1	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	3	1	2	2	en_uk_b1_10.m4a	Terdapat 9 layang -layang yang terbang di langit. Angin bertiup 3 layang -layang di bawah tanah. Berapa banyak layang -layang yang masih terbang di langit?	5	6	7	8	layang-layang	layang-layang	layang-layang	layang-layang	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	3	1	3	2	en_uk_b1_01.m4a	5 epal ada di atas meja. Daud makan 2 epal. Berapa banyak epal yang tersisa di atas meja?	2	3	4	5	epal	epal	epal	epal	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	3	1	4	2	en_uk_b1_04.m4a	Zainab membuat 8 roti. Dia memberikan 3 roti kepada sepupunya. Berapa banyak roti yang dia tinggalkan?	8	7	6	5	ketul	ketul	ketul	ketul	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	3	1	5	2	en_uk_b1_08.m4a	Jamaliah membuat 4 gelang. Dia memberikan 2 daripadanya kepada rakannya. Berapa banyak gelang yang telah ditinggalkan oleh Jamaliah?	1	2	3	4	gelang	gelang	gelang	gelang	4 - 2 = <2>	2	4	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
ms-MY	3	2	1	2	en_uk_b1_02.m4a	Salmah mempunyai 7 biskut. Dia makan 2 daripadanya. Berapa banyak biskut yang dia tinggalkan?	3	4	5	6	biskut	biskut	biskut	biskut	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	3	2	2	2	en_uk_b1_04.m4a	Zainab membuat 8 roti. Dia memberikan 3 roti kepada sepupunya. Berapa banyak roti yang dia tinggalkan?	8	7	6	5	ketul	ketul	ketul	ketul	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	3	2	3	2	en_uk_b1_05.m4a	Kartini mempunyai 9 gelang. Dia kehilangan 2 daripadanya. Berapa banyak gelang yang ditinggalkan oleh Kartini?	9	7	5	3	gelang	gelang	gelang	gelang	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	3	2	4	2	en_uk_b1_10.m4a	Terdapat 9 layang -layang yang terbang di langit. Angin bertiup 3 layang -layang di bawah tanah. Berapa banyak layang -layang yang masih terbang di langit?	5	6	7	8	layang-layang	layang-layang	layang-layang	layang-layang	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	3	2	5	2	en_uk_b1_02.m4a	Salmah mempunyai 7 biskut. Dia makan 2 daripadanya. Berapa banyak biskut yang dia tinggalkan?	3	4	5	6	biskut	biskut	biskut	biskut	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	3	3	1	2	en_uk_b1_01.m4a	5 epal ada di atas meja. Daud makan 2 epal. Berapa banyak epal yang tersisa di atas meja?	2	3	4	5	epal	epal	epal	epal	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	3	3	2	2	en_uk_b1_04.m4a	Zainab membuat 8 roti. Dia memberikan 3 roti kepada sepupunya. Berapa banyak roti yang dia tinggalkan?	8	7	6	5	ketul	ketul	ketul	ketul	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	3	3	3	2	en_uk_b1_05.m4a	Kartini mempunyai 9 gelang. Dia kehilangan 2 daripadanya. Berapa banyak gelang yang ditinggalkan oleh Kartini?	9	7	5	3	gelang	gelang	gelang	gelang	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	3	3	4	2	en_uk_b1_10.m4a	Terdapat 9 layang -layang yang terbang di langit. Angin bertiup 3 layang -layang di bawah tanah. Berapa banyak layang -layang yang masih terbang di langit?	5	6	7	8	layang-layang	layang-layang	layang-layang	layang-layang	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	3	3	5	2	en_uk_b1_02.m4a	Salmah mempunyai 7 biskut. Dia makan 2 daripadanya. Berapa banyak biskut yang dia tinggalkan?	3	4	5	6	biskut	biskut	biskut	biskut	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	4	1	1	4	en_uk_d1_03.m4a	Terdapat 6 burung dan 3 sarang. Berapa banyak lagi burung yang ada daripada sarang?	3	6	9	12	burung	burung	burung	burung	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	4	1	2	4	en_uk_d1_09.m4a	Hasnah berjalan 4 blok ke sekolah. Noriza berjalan 2 blok ke sekolah. Berapa banyak lagi blok Hasnah berjalan daripada Noriza ke sekolah?	2	4	6	8	blok	blok	blok	blok	4 - 2 = <2>	1	4	2	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
ms-MY	4	1	3	4	en_uk_d1_01.m4a	Latifah berumur 9 tahun. Kakaknya Zuraidah berumur 6 tahun. Berapa lebih tua Latifah daripada kakaknya Zuraidah?	3	6	9	12	tahun	tahun	tahun	tahun	9 - 6  = <3>	1	9	6	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	4	1	4	4	en_uk_d1_05.m4a	Daud makan 7 cookies dan noriza makan 2 cookies. Berapa banyak biskut yang lebih sedikit yang dimakan oleh Noriza daripada Daud?	3	5	7	9	biskut	biskut	biskut	biskut	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	4	1	5	4	en_uk_d1_06.m4a	Ali menanam 5 biji di taman sekolah. Noriza menanam 8 biji. Berapa banyak biji yang lebih sedikit yang ditanam oleh Ali daripada Noriza?	3	5	8	10	benih	benih	benih	benih	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	4	2	1	4	en_uk_d1_04.m4a	Terdapat 5 cawan dan 7 plat. Berapa banyak lagi plat yang ada daripada cawan?	2	5	9	14	pinggan	pinggan	pinggan	pinggan	7 - 5 = <2>	1	5	7	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	4	2	2	4	en_uk_d1_10.m4a	Kami mempunyai 3 muka surat kerja rumah matematik semalam. Dia mempunyai 9 halaman kerja rumah matematik hari ini. Berapa banyak lagi halaman yang dimiliki Kami hari ini daripada semalam?	3	6	9	12	muka surat	muka surat	muka surat	muka surat	9 - 3 = <6>	2	3	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	4	2	3	4	en_uk_d1_02.m4a	Anda mempunyai 7 belon dan rakan anda mempunyai 5 belon. Berapa banyak lagi belon yang anda ada daripada rakan anda?	2	5	7	9	belon	belon	belon	belon	7 - 5 = <2>	1	7	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	4	2	4	4	en_uk_d1_06.m4a	Ali menanam 5 biji di taman sekolah. Noriza menanam 8 biji. Berapa banyak biji yang lebih sedikit yang ditanam oleh Ali daripada Noriza?	3	5	8	10	benih	benih	benih	benih	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	4	2	5	4	en_uk_d1_07.m4a	Terdapat 6 kumbang dan 4 rama -rama. Berapa rama -rama yang lebih sedikit daripada kumbang?	2	4	6	8	rama-rama	rama-rama	rama-rama	rama-rama	6 - 4 = <2>	1	6	4	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	4	3	1	4	en_uk_d1_02.m4a	Anda mempunyai 7 belon dan rakan anda mempunyai 5 belon. Berapa banyak lagi belon yang anda ada daripada rakan anda?	2	5	7	9	belon	belon	belon	belon	7 - 5 = <2>	1	7	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	4	3	2	4	en_uk_d1_08.m4a	Maria membaca 3 buku dan siti membaca 5 buku. Berapa banyak lagi buku yang dibaca oleh Siti daripada Maria?	2	3	5	7	buku	buku	buku	buku	5 - 3 = <2>	1	3	5	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
ms-MY	4	3	3	4	en_uk_d1_03.m4a	Terdapat 6 burung dan 3 sarang. Berapa banyak lagi burung yang ada daripada sarang?	3	6	9	12	burung	burung	burung	burung	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	4	3	4	4	en_uk_d1_07.m4a	Terdapat 6 kumbang dan 4 rama -rama. Berapa rama -rama yang lebih sedikit daripada kumbang?	2	4	6	8	rama-rama	rama-rama	rama-rama	rama-rama	6 - 4 = <2>	1	6	4	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	4	3	5	4	en_uk_d1_05.m4a	Daud makan 7 cookies dan noriza makan 2 cookies. Berapa banyak biskut yang lebih sedikit yang dimakan oleh Noriza daripada Daud?	3	5	7	9	biskut	biskut	biskut	biskut	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	5	1	1	1	en_uk_a1_08.m4a	7 epal merah dan 2 epal hijau berada di dalam bakul. Berapa banyak epal dalam bakul?	6	7	8	9	epal	epal	epal	epal	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	5	1	2	1	en_uk_a1_01.m4a	Mariam menangkap 5 ikan pada waktu pagi. Dia menangkap 4 lagi ikan pada sebelah petang. Berapa banyak ikan yang ditangkap Mariam dalam semua?	6	7	8	9	ikan	ikan	ikan	ikan	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	5	1	3	1	en_uk_a1_10.m4a	Khairul mendapat 3 baju baru pada hari lahirnya. Dia sudah mempunyai 5 baju. Berapa banyak baju yang dia ada sekarang?	6	7	8	9	shirts	shirts	shirts	shirts	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	5	1	4	1	en_uk_a1_09.m4a	Helena melihat 12 burung di pokok dan 7 burung di pokok lain. Berapa banyak burung yang dia lihat sama sekali?	17	18	19	20	burung	burung	burung	burung	12 + 7 = <19>	3	12	7	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
ms-MY	5	1	5	1	en_uk_a1_04.m4a	Terdapat 14 ikan dalam tangki air. Kartini meletakkan 3 lagi ikan ke dalam tangki. Berapa banyak ikan yang ada?	14	15	16	17	ikan	ikan	ikan	ikan	14 + 3 = <17>	4	14	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	5	2	1	1	en_uk_a1_05.m4a	Ali mempunyai 6 buku. Hassan mempunyai 2 buku. Berapa banyak buku yang mereka ada dalam semua?	3	5	7	8	buku	buku	buku	buku	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	5	2	2	1	en_uk_a1_03.m4a	Rahmah mendapat pelekat bintang ketika dia melakukan matematik di sekolah. Semalam, Rahmah memperoleh 4 bintang. Hari ini, dia memperoleh 3 lagi. Berapa banyak bintang yang diperoleh Rahmah dalam semua?	6	7	8	9	bintang	bintang	bintang	bintang	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	5	2	3	1	en_uk_a1_08.m4a	7 epal merah dan 2 epal hijau berada di dalam bakul. Berapa banyak epal dalam bakul?	6	7	8	9	epal	epal	epal	epal	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	5	2	4	1	en_uk_a1_04.m4a	Terdapat 14 ikan dalam tangki air. Kartini meletakkan 3 lagi ikan ke dalam tangki. Berapa banyak ikan yang ada?	14	15	16	17	ikan	ikan	ikan	ikan	14 + 3 = <17>	4	14	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	5	2	5	1	en_uk_a1_09.m4a	Helena melihat 12 burung di pokok dan 7 burung di pokok lain. Berapa banyak burung yang dia lihat sama sekali?	17	18	19	20	burung	burung	burung	burung	12 + 7 = <19>	3	12	7	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
ms-MY	6	1	1	4	en_uk_d3_03.m4a	Zainal mempunyai 4 keping setem. Farid mempunyai 5 keping setem lebih daripada Zainal. Berapakah bilangan setem yang dimiliki oleh Farid?	4	5	9	11	setem	setem	setem	setem	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	6	1	2	4	en_uk_d3_06.m4a	Perpustakaan mempunyai 5 buah meja lebih daripada pejabat sekolah. Pejabat sekolah mempunyai 2 buah meja. Berapakah bilangan meja yang ada di perpustakaan?	5	7	9	11	meja	meja	meja	meja	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	6	1	3	4	en_uk_d3_08.m4a	Sekolah ini mempunyai dua kotak yang hilang dan ditemui. Di dalam kotak pertama, terdapat 5 topi. Di dalam kotak kedua, terdapat 4 lebih topi daripada di kotak pertama. Berapa banyak topi yang ada di kotak kedua?	5	9	14	15	topi	topi	topi	topi	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
ms-MY	6	1	4	4	en_uk_d3_09.m4a	Terdapat 10 plat di meja makan. Terdapat 5 orang lagi daripada plat. Berapa banyak orang yang sedang makan malam?	10	15	20	25	people	people	people	people	10 + 5 = <15>	2	10	15	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
ms-MY	6	1	5	4	en_uk_d3_10.m4a	Terdapat 14 kerusi di bilik darjah Cik Bahar. Terdapat 3 lagi kerusi di kelas Encik Petrus. Berapa banyak kerusi yang terdapat di bilik darjah Encik Petrus?	11	14	17	20	chairs	chairs	chairs	chairs	14 + 3 = <17>	3	14	17	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	6	2	1	4	en_uk_d3_07.m4a	Ismail mempunyai 2 kambing di ladangnya. Terdapat 6 lagi ayam daripada kambing di ladangnya. Berapa banyak ayam yang dia ada?	2	6	8	12	ayam	ayam	ayam	ayam	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	6	2	2	4	en_uk_d3_05.m4a	Siti mempunyai 5 buah teka-teki lebih daripada Aminah. Aminah mempunyai 3 buah teka-teki. Berapakah bilangan teka-teki yang dimiliki oleh Siti?	6	7	8	9	teka-teki	teka-teki	teka-teki	teka-teki	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	6	2	3	4	en_uk_d3_02.m4a	Razak mempunyai 2 biji guli. Aida mempunyai 3 biji guli lebih daripada Razak. Berapakah bilangan guli yang dimiliki oleh Aida?	2	3	5	8	guli	guli	guli	guli	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	6	2	4	4	en_uk_d3_10.m4a	Terdapat 14 kerusi di bilik darjah Cik Bahar. Terdapat 3 lagi kerusi di kelas Encik Petrus. Berapa banyak kerusi yang terdapat di bilik darjah Encik Petrus?	11	14	17	20	chairs	chairs	chairs	chairs	14 + 3 = <17>	3	14	17	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
ms-MY	6	2	5	4	en_uk_d3_09.m4a	Terdapat 10 plat di meja makan. Terdapat 5 orang lagi daripada plat. Berapa banyak orang yang sedang makan malam?	10	15	20	25	people	people	people	people	10 + 5 = <15>	2	10	15	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
ms-MY	7	1	1	2	en_uk_b1_04.m4a	Zainab membuat 8 roti. Dia memberikan 3 roti kepada sepupunya. Berapa banyak roti yang dia tinggalkan?	8	7	6	5	ketul	ketul	ketul	ketul	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	7	1	2	2	en_uk_b1_05.m4a	Kartini mempunyai 9 gelang. Dia kehilangan 2 daripadanya. Berapa banyak gelang yang ditinggalkan oleh Kartini?	9	7	5	3	gelang	gelang	gelang	gelang	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
