#Level	#ProblemCount	#Problem	#Answer	#Word1	#Word2	#Word3
19	5	21	langit	la	ngit	
19	5	22	sangat	sa	ngat	
19	5	23	dengar	de	ngar	
19	5	24	bingka	bing	ka	
19	5	25	pinggan	ping	gan	
19	5	26	tinggal	ting	gal	
19	5	27	unggul	ung	gul	
19	5	28	ungkap	ung	kap	
19	5	29	ungkit	ung	kit	
19	5	30	tunggu	tung	gu	
19	5	31	bungkus	bung	kus	
20	5	1	khurafat	khu	ra	fat
20	5	2	keringat	ke	ri	ngat
20	5	3	kenangan	ke	na	ngan
20	5	4	sengaja	se	nga	ja
20	5	5	penyakit	pe	nya	kit
20	5	6	pengadil	pe	nga	dil
20	5	7	pengisar	pe	ngi	sar
20	5	8	senyuman	se	nyu	man
20	5	9	denyutan	de	nyu	tan
20	5	10	khazanah	kha	za	nah
20	5	11	khayalan	kha	ya	lan
20	5	12	syarahan	sya	ra	han
20	5	13	nyanyian	nya	nyi	an
20	5	14	penyapu	pe	nya	pu
21	5	1	menyorok	me	nyo	rok
21	5	2	mengantuk	me	ngan	tuk
21	5	3	mengingat	me	ngi	ngat
21	5	4	mengaji	me	nga	ji
21	5	5	menyapu	me	nya	pu
21	5	6	menyala	me	nya	la
21	5	7	menyiram	me	nyi	ram
21	5	8	menyikat	me	nyi	kat
21	5	9	menyusun	me	nyu	sun
21	5	10	mengajar	me	nga	jar
21	5	11	mengira	me	ngi	ra
