# LanguageTag	# Level	# Worksheet	# Problem		# Word	# Missing Position	# Number of Consonant Choices	# Number of Vowel Choices	# Image	# Sound Duration
ms-MY	2	2	3		ubi	u*i	1	0	spelling_ubi.png	0.720333333
ms-MY	2	2	4		cat	c*t	0	1	spelling_cat.png	0.621291667
ms-MY	2	2	5		pen	p*n	1	0	spelling_pen.png	0.639833333
ms-MY	2	2	6		bas	b*s	0	1	spelling_bas.png	0.693354167
ms-MY	2	2	7		jam	j*m	0	1	spelling_jam.png	0.803729167
ms-MY	2	3	1		tin	t*n	0	1	spelling_tin.png	1.011337868
ms-MY	2	3	2		bas	b*s	0	1	spelling_bas.png	0.693354167
ms-MY	2	3	3		zip	z*p	0	1	spelling_zip.png	0.568888889
ms-MY	2	3	4		ubi	u*i	1	0	spelling_ubi.png	0.720333333
ms-MY	2	3	5		jus	j*s	0	1	spelling_jus.png	0.814208333
ms-MY	2	3	6		beg	b*g	0	1	spelling_beg.png	0.568888889
ms-MY	2	3	7		vas	v*s	0	1	spelling_vas.png	0.801088435
ms-MY	2	4	1		tin	t*n	0	1	spelling_tin.png	1.011337868
ms-MY	2	4	2		cat	c*t	0	1	spelling_cat.png	0.621291667
ms-MY	2	4	3		kek	k*k	1	0	spelling_kek.png	0.81600907
ms-MY	2	4	4		ubi	u*i	1	0	spelling_ubi.png	0.720333333
ms-MY	2	4	5		jus	j*s	0	1	spelling_jus.png	0.814208333
ms-MY	2	4	6		jam	j*m	0	1	spelling_jam.png	0.803729167
ms-MY	2	4	7		api	a*i	1	0	spelling_api.png	0.487541667
ms-MY	2	5	1		cat	c*t	0	1	spelling_cat.png	0.621291667
ms-MY	2	5	2		ais	a*s	0	1	spelling_ais.png	0.630666667
ms-MY	2	5	3		jam	j*m	0	1	spelling_jam.png	0.803729167
ms-MY	2	5	4		beg	b*g	0	1	spelling_beg.png	0.568888889
ms-MY	2	5	5		jus	j*s	0	1	spelling_jus.png	0.814208333
ms-MY	2	5	6		vas	v*s	0	1	spelling_vas.png	0.801088435
ms-MY	2	5	7		kek	k*k	1	0	spelling_kek.png	0.81600907
ms-MY	2	6	1		pen	p*n	1	0	spelling_pen.png	0.639833333
ms-MY	2	6	2		air	a*r	0	1	spelling_air.png	0.606
ms-MY	2	6	3		kad	k*d	0	1	spelling_kad.png	0.550479167
ms-MY	2	6	4		ibu	i*u	1	0	spelling_ibu.png	0.660666667
ms-MY	2	6	5		zip	z*p	0	1	spelling_zip.png	0.568888889
ms-MY	2	6	6		tin	t*n	0	1	spelling_tin.png	1.011337868
ms-MY	2	6	7		mop	m*p	1	0	spelling_mop.png	0.832222222
ms-MY	2	7	1		kad	k*d	0	1	spelling_kad.png	0.550479167
ms-MY	2	7	2		air	a*r	0	1	spelling_air.png	0.606
ms-MY	2	7	3		mop	m*p	1	0	spelling_mop.png	0.832222222
ms-MY	2	7	4		ibu	i*u	1	0	spelling_ibu.png	0.660666667
ms-MY	2	7	5		api	a*i	1	0	spelling_api.png	0.487541667
ms-MY	2	7	6		vas	v*s	0	1	spelling_vas.png	0.801088435
ms-MY	2	7	7		ais	a*s	0	1	spelling_ais.png	0.630666667
ms-MY	3	1	1		ibu	ib*	0	1	spelling_ibu.png	0.660666667
ms-MY	3	1	2		air	ai*	1	0	spelling_air.png	0.606
ms-MY	3	1	3		api	ap*	0	1	spelling_api.png	0.487541667
ms-MY	3	1	4		bas	ba*	1	0	spelling_bas.png	0.693354167
ms-MY	3	1	5		kad	ka*	0	1	spelling_kad.png	0.550479167
ms-MY	3	1	6		pen	pe*	0	1	spelling_pen.png	0.639833333
ms-MY	3	1	7		mop	mo*	0	1	spelling_mop.png	0.832222222
ms-MY	3	2	1		kek	ke*	0	1	spelling_kek.png	0.81600907
ms-MY	3	2	2		ais	ai*	1	0	spelling_ais.png	0.630666667
ms-MY	3	2	3		ubi	ub*	0	1	spelling_ubi.png	0.720333333
ms-MY	3	2	4		cat	ca*	1	0	spelling_cat.png	0.621291667
ms-MY	3	2	5		pen	pe*	0	1	spelling_pen.png	0.639833333
ms-MY	3	2	6		bas	ba*	1	0	spelling_bas.png	0.693354167
ms-MY	3	2	7		jam	ja*	1	0	spelling_jam.png	0.803729167
ms-MY	3	3	1		tin	ti*	1	0	spelling_tin.png	1.011337868
ms-MY	3	3	2		bas	ba*	1	0	spelling_bas.png	0.693354167
ms-MY	3	3	3		zip	zi*	1	0	spelling_zip.png	0.568888889
ms-MY	3	3	4		ubi	ub*	0	1	spelling_ubi.png	0.720333333
ms-MY	3	3	5		jus	ju*	1	0	spelling_jus.png	0.814208333
ms-MY	3	3	6		beg	be*	1	0	spelling_beg.png	0.568888889
ms-MY	3	3	7		vas	va*	1	0	spelling_vas.png	0.801088435
ms-MY	3	4	1		tin	ti*	1	0	spelling_tin.png	1.011337868
ms-MY	3	4	2		cat	ca*	1	0	spelling_cat.png	0.621291667
ms-MY	3	4	3		kek	ke*	0	1	spelling_kek.png	0.81600907
ms-MY	3	4	4		ubi	ub*	0	1	spelling_ubi.png	0.720333333
ms-MY	3	4	5		jus	ju*	1	0	spelling_jus.png	0.814208333
ms-MY	3	4	6		jam	ja*	1	0	spelling_jam.png	0.803729167
ms-MY	3	4	7		api	ap*	0	1	spelling_api.png	0.487541667
ms-MY	3	5	1		cat	ca*	1	0	spelling_cat.png	0.621291667
ms-MY	3	5	2		ais	ai*	1	0	spelling_ais.png	0.630666667
ms-MY	3	5	3		jam	ja*	1	0	spelling_jam.png	0.803729167
ms-MY	3	5	4		beg	be*	1	0	spelling_beg.png	0.568888889
ms-MY	3	5	5		jus	ju*	1	0	spelling_jus.png	0.814208333
ms-MY	3	5	6		vas	va*	1	0	spelling_vas.png	0.801088435
ms-MY	3	5	7		kek	ke*	0	1	spelling_kek.png	0.81600907
ms-MY	3	6	1		pen	pe*	0	1	spelling_pen.png	0.639833333
ms-MY	3	6	2		air	ai*	1	0	spelling_air.png	0.606
ms-MY	3	6	3		kad	ka*	0	1	spelling_kad.png	0.550479167
ms-MY	3	6	4		ibu	ib*	0	1	spelling_ibu.png	0.660666667
ms-MY	3	6	5		zip	zi*	1	0	spelling_zip.png	0.568888889
ms-MY	3	6	6		tin	ti*	1	0	spelling_tin.png	1.011337868
ms-MY	3	6	7		mop	mo*	0	1	spelling_mop.png	0.832222222
ms-MY	3	7	1		kad	ka*	0	1	spelling_kad.png	0.550479167
ms-MY	3	7	2		air	ai*	1	0	spelling_air.png	0.606
ms-MY	3	7	3		mop	mo*	0	1	spelling_mop.png	0.832222222
ms-MY	3	7	4		ibu	ib*	0	1	spelling_ibu.png	0.660666667
ms-MY	3	7	5		api	ap*	0	1	spelling_api.png	0.487541667
ms-MY	3	7	6		vas	va*	1	0	spelling_vas.png	0.801088435
ms-MY	3	7	7		ais	ai*	1	0	spelling_ais.png	0.630666667
ms-MY	4	1	1		ibu	***	1	2	spelling_ibu.png	0.660666667
ms-MY	4	1	2		air	***	1	2	spelling_air.png	0.606
ms-MY	4	1	3		api	***	1	2	spelling_api.png	0.487541667
ms-MY	4	1	4		bas	***	2	1	spelling_bas.png	0.693354167
ms-MY	4	1	5		kad	***	1	2	spelling_kad.png	0.550479167
ms-MY	4	1	6		pen	***	1	2	spelling_pen.png	0.639833333
ms-MY	4	1	7		mop	***	1	2	spelling_mop.png	0.832222222
ms-MY	4	2	1		kek	***	1	2	spelling_kek.png	0.81600907
ms-MY	4	2	2		ais	***	1	2	spelling_ais.png	0.630666667
ms-MY	4	2	3		ubi	***	1	2	spelling_ubi.png	0.720333333
ms-MY	4	2	4		cat	***	2	1	spelling_cat.png	0.621291667
ms-MY	4	2	5		pen	***	1	2	spelling_pen.png	0.639833333
ms-MY	4	2	6		bas	***	2	1	spelling_bas.png	0.693354167
ms-MY	4	2	7		jam	***	2	1	spelling_jam.png	0.803729167
ms-MY	4	3	1		tin	***	2	1	spelling_tin.png	1.011337868
ms-MY	4	3	2		bas	***	2	1	spelling_bas.png	0.693354167
ms-MY	4	3	3		zip	***	2	1	spelling_zip.png	0.568888889
ms-MY	4	3	4		ubi	***	1	2	spelling_ubi.png	0.720333333
ms-MY	4	3	5		jus	***	2	1	spelling_jus.png	0.814208333
ms-MY	4	3	6		beg	***	2	1	spelling_beg.png	0.568888889
ms-MY	4	3	7		vas	***	2	1	spelling_vas.png	0.801088435
ms-MY	4	4	1		tin	***	2	1	spelling_tin.png	1.011337868
ms-MY	4	4	2		cat	***	2	1	spelling_cat.png	0.621291667
ms-MY	4	4	3		kek	***	1	2	spelling_kek.png	0.81600907
ms-MY	4	4	4		ubi	***	1	2	spelling_ubi.png	0.720333333
ms-MY	4	4	5		jus	***	2	1	spelling_jus.png	0.814208333
ms-MY	4	4	6		jam	***	2	1	spelling_jam.png	0.803729167
ms-MY	4	4	7		api	***	1	2	spelling_api.png	0.487541667
ms-MY	4	5	1		cat	***	2	1	spelling_cat.png	0.621291667
ms-MY	4	5	2		ais	***	1	2	spelling_ais.png	0.630666667
ms-MY	4	5	3		jam	***	2	1	spelling_jam.png	0.803729167
ms-MY	4	5	4		beg	***	2	1	spelling_beg.png	0.568888889
ms-MY	4	5	5		jus	***	2	1	spelling_jus.png	0.814208333
ms-MY	4	5	6		vas	***	2	1	spelling_vas.png	0.801088435
ms-MY	4	5	7		kek	***	1	2	spelling_kek.png	0.81600907
ms-MY	4	6	1		pen	***	1	2	spelling_pen.png	0.639833333
ms-MY	4	6	2		air	***	1	2	spelling_air.png	0.606
ms-MY	4	6	3		kad	***	1	2	spelling_kad.png	0.550479167
ms-MY	4	6	4		ibu	***	1	2	spelling_ibu.png	0.660666667
ms-MY	4	6	5		zip	***	2	1	spelling_zip.png	0.568888889
ms-MY	4	6	6		tin	***	2	1	spelling_tin.png	1.011337868
ms-MY	4	6	7		mop	***	1	2	spelling_mop.png	0.832222222
ms-MY	4	7	1		kad	***	1	2	spelling_kad.png	0.550479167
ms-MY	4	7	2		air	***	1	2	spelling_air.png	0.606
ms-MY	4	7	3		mop	***	1	2	spelling_mop.png	0.832222222
ms-MY	4	7	4		ibu	***	1	2	spelling_ibu.png	0.660666667
ms-MY	4	7	5		api	***	1	2	spelling_api.png	0.487541667
ms-MY	4	7	6		vas	***	2	1	spelling_vas.png	0.801088435
ms-MY	4	7	7		ais	***	1	2	spelling_ais.png	0.630666667
ms-MY	5	1	1		cat	***	4	1	spelling_cat.png	0.621291667
ms-MY	5	1	2		tin	***	4	1	spelling_tin.png	1.011337868
ms-MY	5	1	3		jus	***	4	1	spelling_jus.png	0.814208333
ms-MY	5	1	4		vas	***	4	1	spelling_vas.png	0.801088435
ms-MY	5	1	5		air	***	3	2	spelling_air.png	0.606
ms-MY	5	1	6		jam	***	4	1	spelling_jam.png	0.803729167
ms-MY	5	1	7		pen	***	3	2	spelling_pen.png	0.639833333
ms-MY	5	2	1		jus	***	4	1	spelling_jus.png	0.814208333
ms-MY	5	2	2		ais	***	3	2	spelling_ais.png	0.630666667
ms-MY	5	2	3		api	***	3	2	spelling_api.png	0.487541667
ms-MY	5	2	4		ubi	***	3	2	spelling_ubi.png	0.720333333
ms-MY	5	2	5		kad	***	3	2	spelling_kad.png	0.550479167
ms-MY	5	2	6		mop	***	3	2	spelling_mop.png	0.832222222
ms-MY	5	2	7		tin	***	4	1	spelling_tin.png	1.011337868
ms-MY	5	3	1		ais	***	3	2	spelling_ais.png	0.630666667
ms-MY	5	3	2		kad	***	3	2	spelling_kad.png	0.550479167
ms-MY	5	3	3		jam	***	4	1	spelling_jam.png	0.803729167
ms-MY	5	3	4		bas	***	4	1	spelling_bas.png	0.693354167
ms-MY	5	3	5		api	***	3	2	spelling_api.png	0.487541667
ms-MY	5	3	6		cat	***	4	1	spelling_cat.png	0.621291667
ms-MY	5	3	7		ubi	***	3	2	spelling_ubi.png	0.720333333
ms-MY	5	4	1		tin	***	4	1	spelling_tin.png	1.011337868
ms-MY	5	4	2		kek	***	3	2	spelling_kek.png	0.81600907
ms-MY	5	4	3		api	***	3	2	spelling_api.png	0.487541667
ms-MY	5	4	4		ais	***	3	2	spelling_ais.png	0.630666667
ms-MY	5	4	5		air	***	3	2	spelling_air.png	0.606
ms-MY	5	4	6		kad	***	3	2	spelling_kad.png	0.550479167
ms-MY	5	4	7		beg	***	4	1	spelling_beg.png	0.568888889
ms-MY	5	5	1		mop	***	3	2	spelling_mop.png	0.832222222
ms-MY	5	5	2		kek	***	3	2	spelling_kek.png	0.81600907
ms-MY	5	5	3		ibu	***	3	2	spelling_ibu.png	0.660666667
ms-MY	5	5	4		bas	***	4	1	spelling_bas.png	0.693354167
ms-MY	5	5	5		kek	***	3	2	spelling_kek.png	0.81600907
ms-MY	5	5	6		zip	***	4	1	spelling_zip.png	0.568888889
ms-MY	5	5	7		air	***	3	2	spelling_air.png	0.606
ms-MY	5	6	1		bas	***	4	1	spelling_bas.png	0.693354167
ms-MY	5	6	2		zip	***	4	1	spelling_zip.png	0.568888889
ms-MY	5	6	3		pen	***	3	2	spelling_pen.png	0.639833333
ms-MY	5	6	4		ibu	***	3	2	spelling_ibu.png	0.660666667
ms-MY	5	6	5		jus	***	4	1	spelling_jus.png	0.814208333
ms-MY	5	6	6		jam	***	4	1	spelling_jam.png	0.803729167
ms-MY	5	6	7		vas	***	4	1	spelling_vas.png	0.801088435
ms-MY	5	7	1		pen	***	3	2	spelling_pen.png	0.639833333
ms-MY	5	7	2		ubi	***	3	2	spelling_ubi.png	0.720333333
ms-MY	5	7	3		mop	***	3	2	spelling_mop.png	0.832222222
ms-MY	5	7	4		vas	***	4	1	spelling_vas.png	0.801088435
ms-MY	5	7	5		cat	***	4	1	spelling_cat.png	0.621291667
ms-MY	5	7	6		ibu	***	3	2	spelling_ibu.png	0.660666667
ms-MY	5	7	7		beg	***	4	1	spelling_beg.png	0.568888889
ms-MY	6	1	1		cat	***	4	2	spelling_cat.png	0.621291667
ms-MY	6	1	2		tin	***	4	2	spelling_tin.png	1.011337868
ms-MY	6	1	3		jus	***	4	2	spelling_jus.png	0.814208333
ms-MY	6	1	4		vas	***	4	2	spelling_vas.png	0.801088435
ms-MY	6	1	5		air	***	4	2	spelling_air.png	0.606
ms-MY	6	1	6		jam	***	4	2	spelling_jam.png	0.803729167
ms-MY	6	1	7		pen	***	4	2	spelling_pen.png	0.639833333
ms-MY	6	2	1		jus	***	4	2	spelling_jus.png	0.814208333
ms-MY	6	2	2		ais	***	4	2	spelling_ais.png	0.630666667
ms-MY	6	2	3		api	***	4	2	spelling_api.png	0.487541667
ms-MY	6	2	4		ubi	***	4	2	spelling_ubi.png	0.720333333
ms-MY	6	2	5		kad	***	4	2	spelling_kad.png	0.550479167
ms-MY	6	2	6		mop	***	4	2	spelling_mop.png	0.832222222
ms-MY	6	2	7		tin	***	4	2	spelling_tin.png	1.011337868
ms-MY	6	3	1		ais	***	4	2	spelling_ais.png	0.630666667
ms-MY	6	3	2		kad	***	4	2	spelling_kad.png	0.550479167
ms-MY	6	3	3		jam	***	4	2	spelling_jam.png	0.803729167
ms-MY	6	3	4		bas	***	4	2	spelling_bas.png	0.693354167
ms-MY	6	3	5		api	***	4	2	spelling_api.png	0.487541667
ms-MY	6	3	6		cat	***	4	2	spelling_cat.png	0.621291667
ms-MY	6	3	7		ubi	***	4	2	spelling_ubi.png	0.720333333
ms-MY	6	4	1		tin	***	4	2	spelling_tin.png	1.011337868
ms-MY	6	4	2		kek	***	4	2	spelling_kek.png	0.81600907
ms-MY	6	4	3		api	***	4	2	spelling_api.png	0.487541667
ms-MY	6	4	4		ais	***	4	2	spelling_ais.png	0.630666667
ms-MY	6	4	5		air	***	4	2	spelling_air.png	0.606
ms-MY	6	4	6		kad	***	4	2	spelling_kad.png	0.550479167
ms-MY	6	4	7		beg	***	4	2	spelling_beg.png	0.568888889
ms-MY	6	5	1		mop	***	4	2	spelling_mop.png	0.832222222
ms-MY	6	5	2		kek	***	4	2	spelling_kek.png	0.81600907
ms-MY	6	5	3		ibu	***	4	2	spelling_ibu.png	0.660666667
ms-MY	6	5	4		bas	***	4	2	spelling_bas.png	0.693354167
ms-MY	6	5	5		kek	***	4	2	spelling_kek.png	0.81600907
ms-MY	6	5	6		zip	***	4	2	spelling_zip.png	0.568888889
ms-MY	6	5	7		air	***	4	2	spelling_air.png	0.606
ms-MY	6	6	1		bas	***	4	2	spelling_bas.png	0.693354167
ms-MY	6	6	2		zip	***	4	2	spelling_zip.png	0.568888889
ms-MY	6	6	3		pen	***	4	2	spelling_pen.png	0.639833333
ms-MY	6	6	4		ibu	***	4	2	spelling_ibu.png	0.660666667
ms-MY	6	6	5		jus	***	4	2	spelling_jus.png	0.814208333
ms-MY	6	6	6		jam	***	4	2	spelling_jam.png	0.803729167
ms-MY	6	6	7		vas	***	4	2	spelling_vas.png	0.801088435
ms-MY	6	7	1		pen	***	4	2	spelling_pen.png	0.639833333
ms-MY	6	7	2		ubi	***	4	2	spelling_ubi.png	0.720333333
ms-MY	6	7	3		mop	***	4	2	spelling_mop.png	0.832222222
ms-MY	6	7	4		vas	***	4	2	spelling_vas.png	0.801088435
ms-MY	6	7	5		cat	***	4	2	spelling_cat.png	0.621291667
ms-MY	6	7	6		ibu	***	4	2	spelling_ibu.png	0.660666667
ms-MY	6	7	7		beg	***	4	2	spelling_beg.png	0.568888889
ms-MY	7	1	1		air	a*r	0	2	spelling_air.png	0.606
ms-MY	7	1	2		kek	k*k	1	1	spelling_kek.png	0.81600907
ms-MY	7	1	3		api	a*i	1	1	spelling_api.png	0.487541667
ms-MY	7	1	4		rak	r*k	1	1	spelling_rak.png	0.469833333
ms-MY	7	1	5	 	tin	t*n	0	2	spelling_tin.png	1.011337868
ms-MY	7	1	6		jam	j*m	0	2	spelling_jam.png	0.803729167
ms-MY	7	1	7		bot	*ot	1	1	spelling_bot.png	0.893968254
ms-MY	7	2	1		beg	b*g	0	2	spelling_beg.png	0.568888889
ms-MY	7	2	2		rak	r*k	1	1	spelling_rak.png	0.469833333
ms-MY	7	2	3		jam	j*m	0	2	spelling_jam.png	0.803729167
ms-MY	7	2	4		api	a*i	1	1	spelling_api.png	0.487541667
ms-MY	7	2	5		ubi	u*i	1	1	spelling_ubi.png	0.720333333
ms-MY	7	2	6		tin	t*n	0	2	spelling_tin.png	1.011337868
ms-MY	7	2	7		cat	c*t	0	2	spelling_cat.png	0.621291667
ms-MY	7	3	1		tin	t*n	0	2	spelling_tin.png	1.011337868
ms-MY	7	3	2		vas	v*s	0	2	spelling_vas.png	0.801088435
ms-MY	7	3	3		van	v*n	0	2	spelling_van.png	0.882358277
ms-MY	7	3	4		kad	k*d	0	2	spelling_kad.png	0.550479167
ms-MY	7	3	5		ais	a*s	0	2	spelling_ais.png	0.630666667
ms-MY	7	3	6		ubi	u*i	1	1	spelling_ubi.png	0.720333333
ms-MY	7	3	7		air	a*r	0	2	spelling_air.png	0.606
ms-MY	7	4	1		zip	z*p	0	2	spelling_zip.png	0.568888889
ms-MY	7	4	2		vas	v*s	0	2	spelling_vas.png	0.801088435
ms-MY	7	4	3		jus	j*s	0	2	spelling_jus.png	0.814208333
ms-MY	7	4	4		kek	k*k	1	1	spelling_kek.png	0.81600907
ms-MY	7	4	5		ibu	i*u	1	1	spelling_ibu.png	0.660666667
ms-MY	7	4	6		mop	m*p	1	1	spelling_mop.png	0.832222222
ms-MY	7	4	7		tin	t*n	0	2	spelling_tin.png	1.011337868
ms-MY	7	5	1		pen	p*n	1	1	spelling_pen.png	0.639833333
ms-MY	7	5	2		kad	k*d	0	2	spelling_kad.png	0.550479167
ms-MY	7	5	3		tin	t*n	0	2	spelling_tin.png	1.011337868
ms-MY	7	5	4		kek	k*k	1	1	spelling_kek.png	0.81600907
ms-MY	7	5	5		api	a*i	1	1	spelling_api.png	0.487541667
ms-MY	7	5	6		bas	b*s	0	2	spelling_bas.png	0.693354167
ms-MY	7	5	7		rak	r*k	1	1	spelling_rak.png	0.469833333
ms-MY	7	6	1		vas	v*s	0	2	spelling_vas.png	0.801088435
ms-MY	7	6	2		api	a*i	1	1	spelling_api.png	0.487541667
ms-MY	7	6	3		bas	b*s	0	2	spelling_bas.png	0.693354167
ms-MY	7	6	4		ibu	i*u	1	1	spelling_ibu.png	0.660666667
ms-MY	7	6	5		jam	j*m	0	2	spelling_jam.png	0.803729167
ms-MY	7	6	6		mop	m*p	1	1	spelling_mop.png	0.832222222
ms-MY	7	6	7		air	a*r	0	2	spelling_air.png	0.606
ms-MY	7	7	1		vas	v*s	0	2	spelling_vas.png	0.801088435
ms-MY	7	7	2		jus	j*s	0	2	spelling_jus.png	0.814208333
ms-MY	7	7	3		van	v*n	0	2	spelling_van.png	0.882358277
ms-MY	7	7	4		beg	b*g	0	2	spelling_beg.png	0.568888889
ms-MY	7	7	5		ubi	u*i	1	1	spelling_ubi.png	0.720333333
ms-MY	7	7	6		pen	p*n	1	1	spelling_pen.png	0.639833333
ms-MY	7	7	7		air	a*r	0	2	spelling_air.png	0.606
ms-MY	8	1	1		meja	me*a	1	1	spelling_meja.png	0.7599375
ms-MY	8	1	2		bola	b*la	0	2	spelling_bola.png	0.664666667
ms-MY	8	1	3		itik	i*ik	1	1	spelling_itik.png	1.137732426
ms-MY	8	1	4		mata	m*ta	0	2	spelling_mata.png	1.000793651
ms-MY	8	1	5		bayi	b*yi	0	2	spelling_bayi.png	0.975238095
ms-MY	8	1	6		lori	l*ri	0	2	spelling_lori.png	0.768072562
ms-MY	8	1	7		daun	d*un	0	2	spelling_daun.png	0.789478458
ms-MY	8	2	1		kaki	k*ki	0	2	spelling_kaki.png	1.079727891
ms-MY	8	2	2		susu	s*su	0	2	spelling_susu.png	0.678333333
ms-MY	8	2	3		buku	b*ku	0	2	spelling_buku.png	0.8034375
ms-MY	8	2	4		gula	g*la	0	2	spelling_gula.png	0.743038549
ms-MY	8	2	5		bayi	b*yi	0	2	spelling_bayi.png	0.975238095
ms-MY	8	2	6		muka	m*ka	0	2	spelling_muka.png	0.859138322
ms-MY	8	2	7		daun	d*un	0	2	spelling_daun.png	0.789478458
ms-MY	8	3	1		ikan	i*an	1	1	spelling_ikan.png	0.359909297
ms-MY	8	3	2		hati	h*ti	0	2	spelling_hati.png	0.781678005
ms-MY	8	3	3		muka	m*ka	0	2	spelling_muka.png	0.859138322
ms-MY	8	3	4		tali	t*li	0	2	spelling_tali.png	0.562083333
ms-MY	8	3	5		lori	l*ri	0	2	spelling_lori.png	0.768072562
ms-MY	8	3	6		susu	s*su	0	2	spelling_susu.png	0.678333333
ms-MY	8	3	7		daun	d*un	0	2	spelling_daun.png	0.789478458
ms-MY	8	4	1		bayi	b*yi	0	2	spelling_bayi.png	0.975238095
ms-MY	8	4	2		buku	b*ku	0	2	spelling_buku.png	0.8034375
ms-MY	8	4	3		meja	me*a	1	1	spelling_meja.png	0.7599375
ms-MY	8	4	4		lori	l*ri	0	2	spelling_lori.png	0.768072562
ms-MY	8	4	5		duit	d*it	0	2	spelling_duit.png	0.940408163
ms-MY	8	4	6		kaki	k*ki	0	2	spelling_kaki.png	1.079727891
ms-MY	8	4	7		hati	h*ti	0	2	spelling_hati.png	0.781678005
ms-MY	8	5	1		itik	i*ik	1	1	spelling_itik.png	1.137732426
ms-MY	8	5	2		gula	g*la	0	2	spelling_gula.png	0.743038549
